Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
AP English Literature and Composition,9.0,3.0,11.0,-72.0,47.0,360,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,75.0,On Track,AP
Physics 2,2.0,3.0,3.0,16.0,-3.0,86,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,1.0,100.0,On Track,College
College and University Admissions,18.0,2.0,22.0,-89.0,112.0,900,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,16.0,2.0,12.0,On Track (Low Util),College
AP Microeconomics,4.0,3.0,4.0,-14.0,4.0,117,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,4.0,2.0,5.0,1.0,20.0,On Track (Low Util),AP
C++,2.0,2.0,3.0,-14.0,2.0,117,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,On Track (Low Util),College
Pharmacology,8.0,2.0,9.0,-74.0,40.0,388,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,8.0,2.0,25.0,On Track (Low Util),College
French 3,1.0,3.0,2.0,174.0,-15.0,36,True,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,2.0,1.0,50.0,True Supply Problem,Language
Math 2,2.0,4.0,3.0,65.0,-11.0,60,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,4.0,6.0,8.0,1.0,2.0,2.0,1.0,50.0,True Supply Problem,High School
Multivariable Calculus,4.0,3.0,5.0,-32.0,9.0,147,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,,2.0,,,,On Track,College
JavaScript,4.0,2.0,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,50.0,On Track,College
AP Computer Science Principles,4.0,2.0,4.0,-38.0,10.0,160,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,On Track (Low Util),AP
Corporate Finance,1.0,2.0,1.0,143.0,-10.0,41,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,Possible Placement Issue,College
Vietnamese,1.0,4.0,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,,2.0,,,,Supply Problem (No Util Data),Language
Cyber Security,6.0,2.0,7.0,-67.0,28.0,300,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,1.0,14.0,On Track (Low Util),College
BCABA,2.0,2.0,3.0,-20.0,4.0,125,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,On Track,Professional/Cert
IB Biology,4.0,2.0,5.0,-56.0,18.0,225,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,0.0,0.0,On Track (Low Util),IB
Electrical and Computer Engineering,1.0,2.0,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,Possible Placement Issue,College
Statics and Dynamics,2.0,2.0,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,On Track,College
Applied Mathematics,5.0,2.0,6.0,-57.0,21.0,233,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,2.0,2.0,0.0,0.0,On Track (Low Util),College
Robotics,1.0,2.0,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,2.0,,,,Supply Problem (No Util Data),Technology
Fine arts,4.0,2.0,5.0,-54.0,16.0,217,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,On Track (Low Util),Arts & Music
Business Analytics,4.0,2.0,4.0,-34.0,9.0,151,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,33.0,On Track (Low Util),College
PTCE,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,Supply Problem (No Util Data),Professional/Cert
Filmmaking,2.0,2.0,2.0,22.0,-3.0,82,True,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,Possible Placement Issue,Arts & Music
Mac Basic Computer Skills,5.0,2.0,6.0,-57.0,19.0,233,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,6.0,1.0,17.0,On Track (Low Util),Technology
Cost Accounting,1.0,3.0,1.0,214.0,-15.0,32,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,,1.0,1.0,0.0,0.0,Possible Placement Issue,College
PC Basic Computer Skills,6.0,2.0,7.0,-71.0,30.0,350,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,50.0,On Track,Technology
Technical Writing,21.0,2.0,26.0,-91.0,135.0,1062,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,14.0,2.0,14.0,On Track (Low Util),College
Music Recording,1.0,2.0,2.0,29.0,-3.0,78,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,2.0,1.0,0.0,0.0,Possible Placement Issue,Arts & Music
Probability,1.0,2.0,2.0,94.0,-8.0,51,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,0.0,0.0,Possible Placement Issue,College
Linguistics,2.0,3.0,2.0,54.0,-6.0,65,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,1.0,1.0,0.0,0.0,Possible Placement Issue,College
Structural Engineering,1.0,2.0,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,1.0,,,,Supply Problem (No Util Data),College
Rhino,2.0,1.0,2.0,-5.0,0.0,105,False,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,33.0,On Track (Low Util),Arts & Music
College Level American History,5.0,3.0,6.0,-43.0,15.0,175,False,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,,1.0,,,,On Track,College
Clinical Psychology,4.0,2.0,4.0,-35.0,8.0,153,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,1.0,,,,On Track,College
Conversational Spanish,14.0,10.0,16.0,-27.0,26.0,137,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,0.0,2.0,5.0,10.0,14.0,15.0,16.0,6.0,24.0,4.0,17.0,On Track (Low Util),Language
NCLEX,6.0,0.0,7.0,-98.0,41.0,4200,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,2.0,40.0,On Track (Low Util),Professional/Cert
Japanese,2.0,3.0,2.0,81.0,-8.0,55,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,Possible Placement Issue,Language
Orton Gillingham,3.0,1.0,4.0,-79.0,18.0,467,False,5.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,50.0,On Track,Other
Middle School Writing,98.0,0.0,118.0,-100.0,686.0,22983,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,3.0,134.0,31.0,23.0,On Track (Low Util),Middle School
College Physics,6.0,3.0,7.0,-53.0,21.0,212,False,19.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,5.0,5.0,3.0,6.0,3.0,50.0,On Track,College
College Algebra,6.0,2.0,7.0,-64.0,27.0,280,False,15.0,True,['Apr'],15.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,3.0,2.0,5.0,1.0,20.0,On Track (Low Util),College
PSAT,6.0,1.0,8.0,-85.0,38.0,650,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,22.0,15.0,68.0,On Track,Test Prep
Financial Accounting,5.0,2.0,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,11.0,2.0,18.0,On Track (Low Util),College
Mandarin Chinese 1,2.0,1.0,2.0,-33.0,4.0,150,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,100.0,On Track,Language
Drawing,15.0,1.0,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,18.0,5.0,28.0,On Track (Low Util),Arts & Music
SAT Writing and Language,8.0,1.0,10.0,-88.0,49.0,800,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,12.0,67.0,On Track,Test Prep
French 1,8.0,1.0,10.0,-88.0,49.0,800,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,0.0,0.0,On Track (Low Util),Language
ARRT - Radiography,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,On Track (Low Util),Professional/Cert
NCLEX-RN,4.0,1.0,5.0,-75.0,21.0,400,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,2.0,33.0,On Track (Low Util),Professional/Cert
Conversational German,1.0,3.0,2.0,125.0,-12.0,44,True,21.0,False,,21.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,,1.0,1.0,0.0,0.0,Possible Placement Issue,Language
NPTE,1.0,1.0,2.0,-25.0,2.0,133,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,On Track (Low Util),Professional/Cert
Java,9.0,1.0,10.0,-87.0,53.0,766,False,8.0,True,['Apr'],8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,14.0,5.0,36.0,On Track (Low Util),College
Basic Computer Literacy,15.0,3.0,18.0,-79.0,83.0,477,False,22.0,True,['Apr'],13.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,0.0,0.0,1.0,5.0,6.0,3.0,3.0,10.0,1.0,10.0,On Track (Low Util),Technology
Organic Chemistry 2,6.0,1.0,7.0,-81.0,34.0,525,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,On Track,College
Computer Programming,12.0,1.0,15.0,-92.0,80.0,1250,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,23.0,7.0,30.0,On Track (Low Util),College
Creative Writing,72.0,1.0,86.0,-99.0,494.0,7150,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,63.0,8.0,13.0,On Track (Low Util),College
College Computer Science,6.0,2.0,7.0,-73.0,29.0,366,False,11.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,9.0,2.0,22.0,On Track (Low Util),College
Electrical Engineering,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,50.0,On Track,College
Portuguese,1.0,1.0,2.0,-4.0,0.0,104,False,9.0,False,,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,On Track (Low Util),Language
General Chemistry 2,4.0,1.0,5.0,-68.0,19.0,311,False,9.0,True,['Apr'],9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,0.0,0.0,On Track (Low Util),College
Differential Equations,2.0,2.0,3.0,-30.0,5.0,143,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,50.0,On Track,College
Spanish 4,9.0,1.0,11.0,-89.0,58.0,933,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,20.0,On Track (Low Util),Language
OTR,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,0.0,0.0,On Track (Low Util),Professional/Cert
High School Level American History,9.0,1.0,11.0,-89.0,58.0,925,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,20.0,5.0,25.0,On Track (Low Util),High School
American Sign Language,2.0,1.0,2.0,-33.0,4.0,150,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,25.0,On Track (Low Util),Language
Grade 11 Physics,2.0,1.0,2.0,-40.0,5.0,167,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,On Track (Low Util),High School
Latin 1,2.0,1.0,2.0,-57.0,8.0,233,False,6.0,False,,6.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,On Track (Low Util),Language
CPA FAR,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,On Track,Professional/Cert
ACT Reading,4.0,2.0,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,7.0,4.0,57.0,On Track,Test Prep
Math 3,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,On Track,High School
CogAT,1.0,2.0,1.0,57.0,-4.0,64,True,11.0,True,['Apr'],11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,,,,Supply Problem (No Util Data),Test Prep
Middle School Social Studies,35.0,0.0,42.0,-100.0,244.0,24500,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,47.0,15.0,32.0,On Track (Low Util),Middle School
ACT English,3.0,3.0,3.0,-6.0,1.0,107,False,18.0,True,['Apr'],17.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,5.0,3.0,60.0,On Track,Test Prep
VTNE,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,On Track,Professional/Cert
French Immersion,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,On Track (Low Util),Language
Guitar,3.0,1.0,4.0,-70.0,16.0,333,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,0.0,0.0,On Track (Low Util),Arts & Music
AP Psychology,8.0,1.0,10.0,-88.0,51.0,825,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,9.0,3.0,33.0,On Track (Low Util),AP
NCLEX-PN,2.0,1.0,2.0,-33.0,4.0,150,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,33.0,On Track (Low Util),Professional/Cert
Earth Science,15.0,1.0,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,10.0,1.0,10.0,On Track (Low Util),High School
Mandarin Chinese 2,2.0,1.0,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,33.0,On Track (Low Util),Language
Microbiology,6.0,1.0,8.0,-84.0,37.0,633,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,50.0,On Track,College
Chemistry 2,2.0,2.0,3.0,-31.0,6.0,146,False,12.0,False,,12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,,1.0,1.0,0.0,0.0,On Track (Low Util),College
Functions,2.0,1.0,2.0,-33.0,4.0,150,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,On Track (Low Util),High School
CFA - Level 1,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,On Track (Low Util),Professional/Cert
CompTIA Security+,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,On Track (Low Util),Professional/Cert
Thermodynamics,3.0,1.0,4.0,-67.0,14.0,300,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,On Track,College
Music Theory,8.0,1.0,9.0,-87.0,46.0,750,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,On Track (Low Util),Arts & Music
Business Statistics,2.0,1.0,3.0,-57.0,9.0,233,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,25.0,On Track (Low Util),College
Physical Chemistry,4.0,2.0,5.0,-61.0,17.0,255,False,11.0,True,['Apr'],11.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,,,,On Track,College
Math 1,4.0,1.0,5.0,-67.0,20.0,303,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,67.0,On Track,High School
Elementary Social Studies,42.0,1.0,50.0,-98.0,285.0,4175,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,1.0,51.0,17.0,33.0,On Track (Low Util),Elementary
Statistics Graduate Level,1.0,2.0,2.0,37.0,-3.0,73,True,12.0,True,['Apr'],12.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,33.0,Possible Placement Issue,College
COMLEX,2.0,1.0,2.0,-33.0,4.0,150,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,On Track,Test Prep
IB Physics,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,On Track,IB
AP European History,3.0,1.0,3.0,-46.0,9.0,187,False,10.0,True,['Apr'],10.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,On Track (Low Util),AP
AP Physics 2,3.0,1.0,3.0,-62.0,12.0,267,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,On Track,AP
Genetics,6.0,1.0,7.0,-83.0,35.0,600,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,On Track (Low Util),College
SSAT- Upper Level,7.0,1.0,8.0,-85.0,40.0,667,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,19.0,12.0,63.0,On Track,Test Prep
German 1,1.0,1.0,2.0,-25.0,2.0,133,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,On Track (Low Util),Language
ISEE- Middle Level,5.0,1.0,6.0,-81.0,30.0,533,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,15.0,11.0,73.0,On Track,Test Prep
PANCE,2.0,1.0,2.0,-33.0,4.0,150,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,On Track (Low Util),Test Prep
Environmental Science,5.0,1.0,6.0,-79.0,26.0,467,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,100.0,On Track,Other
Polish,1.0,1.0,1.0,0.0,0.0,100,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,On Track,Language
PMP,1.0,1.0,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,On Track (Low Util),Professional/Cert
