Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
AP Chemistry,9.0,7.0,11.0,-23.0,15.0,130,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,8.0,11.0,6.0,55.0,On Track,AP
Middle School Science,60.0,6.0,72.0,-89.0,377.0,937,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,52.0,10.0,87.0,28.0,32.0,On Track (Low Util),Middle School
College Biology,16.0,8.0,19.0,-47.0,52.0,190,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,11.0,8.0,16.0,4.0,25.0,On Track (Low Util),College
LSAT,2.0,9.0,3.0,313.0,-49.0,24,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,7.0,9.0,10.0,10.0,10.0,9.0,2.0,4.0,3.0,1.0,33.0,Possible Placement Issue,Test Prep
Coding,14.0,6.0,17.0,-56.0,56.0,227,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,16.0,6.0,24.0,11.0,46.0,On Track (Low Util),College
Handwriting,18.0,5.0,21.0,-71.0,86.0,340,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,8.0,3.0,38.0,On Track (Low Util),Elementary
Elementary School English,96.0,7.0,115.0,-93.0,626.0,1461,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,76.0,7.0,148.0,39.0,26.0,On Track (Low Util),Elementary
AP Physics 1,8.0,5.0,9.0,-30.0,16.0,142,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,5.0,7.0,6.0,3.0,50.0,On Track,AP
AP Calculus BC,5.0,7.0,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,7.0,9.0,12.0,4.0,5.0,4.0,2.0,50.0,True Supply Problem,AP
AP Human Geography,3.0,5.0,3.0,104.0,-19.0,49,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,5.0,4.0,1.0,25.0,Possible Placement Issue,AP
