Tutor: Subjects Subject Name - General,Existing Tutors SUM added after Feb 2026,Total New Contracted Last X Months SUM,Contracted average X Months ,Existing Tutor adds after feb ,Total Count Likely Attanable
Social Work,14,21,4.2,14,5
Business Writing,1,21,4.2,1,5
AP Microeconomics,0,20,4.0,0,4
ACCUPLACER QAS,1,20,4.0,1,4
ACT Math,5,20,4.0,5,4
HTML,8,20,4.0,8,4
ACT Science,1,20,4.0,1,4
GED Reasoning Through Language Arts,23,19,3.8,23,4
ACT English,7,19,3.8,7,4
Web Development,0,19,3.8,0,4
AP European History,2,19,3.8,2,4
HSPT Math,0,18,3.6,0,4
Environmental Science,10,18,3.6,10,4
Ethics,1,18,3.6,1,4
LSAT,1,18,3.6,1,4
College Statistics,9,18,3.6,9,4
ACCUPLACER College-Level Math,1,17,3.4,1,4
Orton Gillingham,26,17,3.4,26,4
Data Analysis,1,17,3.4,1,4
General Chemistry 2,0,17,3.4,0,4
AP Environmental Science,2,17,3.4,2,4
Conversational French,2,17,3.4,2,4
Artificial Intelligence (AI),0,17,3.4,0,4
AP Computer Science Principles,0,17,3.4,0,4
Guitar,10,17,3.4,10,4
Sculpture,11,17,3.4,11,4
Microeconomics,6,16,3.2,6,4
Philosophy,0,16,3.2,0,4
Mechanical Engineering,2,16,3.2,2,4
French 3,1,16,3.2,1,4
JavaScript,1,16,3.2,1,4
College Political Science,0,16,3.2,0,4
AP Research,0,16,3.2,0,4
Sociology,7,16,3.2,7,4
AP Art History,0,16,3.2,0,4
Web Design,8,16,3.2,8,4
Information Technology,8,16,3.2,8,4
LSAT Logical Reasoning,0,16,3.2,0,4
Calculus 3,1,16,3.2,1,4
IB Extended Essay,0,15,3.0,0,3
Journalism,0,15,3.0,0,3
Anthropology,0,15,3.0,0,3
Data Structures,8,15,3.0,8,3
Grade 11 Physics,2,15,3.0,2,3
ISEE-Middle Level Mathematics Achievement,0,15,3.0,0,3
AP Physics 2,5,15,3.0,5,3
ISEE-Middle Level Quantitative Reasoning,0,15,3.0,0,3
College Level American Literature,0,15,3.0,0,3
IB Biology,0,15,3.0,0,3
ISEE-Lower Level Mathematics Achievement,0,15,3.0,0,3
HSPT Quantitative,0,14,2.8,0,3
Physics 2,0,14,2.8,0,3
LSAT Reading Comprehension,1,14,2.8,1,3
ISEE-Upper Level Mathematics Achievement,0,14,2.8,0,3
AP Human Geography,0,14,2.8,0,3
EMT,1,14,2.8,1,3
ISEE-Lower Level Quantitative Reasoning,0,14,2.8,0,3
Math 2,9,14,2.8,9,3
ISEE-Upper Level Quantitative Reasoning,0,14,2.8,0,3
USMLE Step 1,2,13,2.6,2,3
Organic Chemistry 2,0,13,2.6,0,3
Discrete Math,1,13,2.6,1,3
GED Science,25,13,2.6,25,3
GED Social Studies,27,13,2.6,27,3
French 4,2,12,2.4,2,3
High School Geography,11,12,2.4,11,3
IB Business & Management,0,12,2.4,0,3
Criminology,18,12,2.4,18,3
Competition Math,0,12,2.4,0,3
LSAT Argumentative Writing,1,12,2.4,1,3
Business Analytics,4,12,2.4,4,3
Thermodynamics,1,12,2.4,1,3
Art History,7,11,2.2,7,3
ISEE-Middle Level Verbal Reasoning,1,11,2.2,1,3
PSAT Mathematics,1,11,2.2,1,3
Arabic,0,11,2.2,0,3
Personal Finance,0,11,2.2,0,3
Clinical Psychology,0,11,2.2,0,3
Physical Science,0,11,2.2,0,3
ISEE-Upper Level Verbal Reasoning,0,10,2.0,0,2
ISEE-Lower Level Verbal Reasoning,0,10,2.0,0,2
Business Ethics,0,10,2.0,0,2
AP Macroeconomics,0,10,2.0,0,2
AP Music Theory,2,10,2.0,2,2
Mandarin Chinese 2,0,10,2.0,0,2
ACCUPLACER WritePlacer ,1,10,2.0,1,2
HSPT Verbal,0,10,2.0,0,2
C++,1,10,2.0,1,2
Analytical Chemistry,0,10,2.0,0,2
Life Sciences,2,10,2.0,2,2
High School Political Science,0,10,2.0,0,2
Chess,0,10,2.0,0,2
Human Development,0,10,2.0,0,2
Chemistry 2,1,10,2.0,1,2
Contract Law,4,9,1.8,4,2
Math 3,1,9,1.8,1,2
American Sign Language,0,9,1.8,0,2
ISEE-Middle Level Reading Comprehension,0,9,1.8,0,2
Mandarin Chinese 1,1,9,1.8,1,2
ISEE-Lower Level Reading Comprehension,0,9,1.8,0,2
Electrical Engineering,1,9,1.8,1,2
ISEE-Upper Level Reading Comprehension,0,9,1.8,0,2
Grade 12 Physics,0,9,1.8,0,2
AP Comparative Government and Politics,0,9,1.8,0,2
College World History,0,9,1.8,0,2
Business Statistics,12,9,1.8,12,2
Corporate Finance,0,9,1.8,0,2
HSPT Reading,0,9,1.8,0,2
Grade 12 Chemistry,0,9,1.8,0,2
IB Chemistry,0,9,1.8,0,2
Korean,0,9,1.8,0,2
HSPT Language Skills,1,9,1.8,1,2
AP Physics C: Mechanics,2,9,1.8,2,2
Bar Exam,2,8,1.6,2,2
Latin 2,1,8,1.6,1,2
Pathology,1,8,1.6,1,2
MCAT Biological and Biochemical Foundations of Living Systems,0,8,1.6,0,2
Series 7,1,8,1.6,1,2
OTR,0,8,1.6,0,2
Human Resources,0,8,1.6,0,2
SIE,1,8,1.6,1,2
CPA,1,8,1.6,1,2
Cost Accounting,0,8,1.6,0,2
Photography,0,8,1.6,0,2
AP Studio Art: 2-D Design,0,8,1.6,0,2
PRAXIS,1,8,1.6,1,2
Nutrition,4,8,1.6,4,2
AP Studio Art: Drawing,0,8,1.6,0,2
"MCAT Psychological, Social, and Biological Foundations of Behavior",0,8,1.6,0,2
MCAT Chemical and Physical Foundations of Biological Systems,0,8,1.6,0,2
Probability,0,8,1.6,0,2
Latin 1,0,8,1.6,0,2
Physical Chemistry,1,8,1.6,1,2
ACCUPLACER Writing,0,8,1.6,0,2
US Constitutional History,9,8,1.6,9,2
Algorithms,0,8,1.6,0,2
ChatGPT,0,7,1.4,0,2
Public Health,0,7,1.4,0,2
Management,8,7,1.4,8,2
Autocad,2,7,1.4,2,2
Functions,1,7,1.4,1,2
Theatre,1,7,1.4,1,2
Finite Mathematics,0,7,1.4,0,2
Statics,4,7,1.4,4,2
Software Engineering,0,7,1.4,0,2
College Geography,17,7,1.4,17,2
Filmmaking,0,7,1.4,0,2
Kinesiology,3,7,1.4,3,2
Vibe Coding,0,7,1.4,0,2
Comparative Literature,0,7,1.4,0,2
Algebra Regents,0,7,1.4,0,2
Biostatistics,0,7,1.4,0,2
College Level American History,0,7,1.4,0,2
Conversational Mandarin,1,7,1.4,1,2
Civil Engineering,3,7,1.4,3,2
Architecture,0,7,1.4,0,2
Business Calculus,0,7,1.4,0,2
Constitutional Law,8,6,1.2,8,2
Software,0,6,1.2,0,2
German 1,1,6,1.2,1,2
Advanced Functions,0,6,1.2,0,2
Spelling Bee,0,6,1.2,0,2
Conversational Italian,0,6,1.2,0,2
ASVAB,3,6,1.2,3,2
Math Substitute,0,6,1.2,0,2
Agricultural Science,0,6,1.2,0,2
World Literature,6,6,1.2,6,2
Data Management,0,6,1.2,0,2
Multivariable Calculus,1,6,1.2,1,2
English Language Arts Substitute,1,6,1.2,1,2
IB Visual Arts,0,6,1.2,0,2
Inorganic Chemistry,0,6,1.2,0,2
High School French,0,6,1.2,0,2
Microsoft Power BI,0,6,1.2,0,2
Statics and Dynamics,0,6,1.2,0,2
Aerospace Engineering,0,6,1.2,0,2
NPTE,0,6,1.2,0,2
CPA FAR,0,6,1.2,0,2
CSS,0,6,1.2,0,2
Statistics Graduate Level,1,6,1.2,1,2
Video Game Design,3,6,1.2,3,2
Conversational German,0,6,1.2,0,2
World Religions,0,6,1.2,0,2
Claude,0,6,1.2,0,2
Critical Analysis and Reasoning Skills,0,6,1.2,0,2
ISEE- Primary,1,6,1.2,1,2
Neurobiology,1,6,1.2,1,2
BCABA,1,6,1.2,1,2
Adult Health and Wellness,1,6,1.2,1,2
"Sports, Exercise and Health Science",12,6,1.2,12,2
Insurance License,0,6,1.2,0,2
Cooking,0,6,1.2,0,2
Linguistics,1,6,1.2,1,2
African-American History,0,5,1.0,0,1
Evolutionary Biology,0,5,1.0,0,1
Health Care Administration,0,5,1.0,0,1
TEAS,1,5,1.0,1,1
Archaeology,0,5,1.0,0,1
Cursor,0,5,1.0,0,1
IB Social and Cultural Anthropology,0,5,1.0,0,1
Portuguese,0,5,1.0,0,1
Lovable,0,5,1.0,0,1
Music Recording,0,5,1.0,0,1
CLEP History of the United States II: 1865 to the Present,0,5,1.0,0,1
Supabase,0,5,1.0,0,1
Quantitative Methods,0,5,1.0,0,1
Clinical Psychiatry,0,5,1.0,0,1
C,7,5,1.0,7,1
Replit,0,5,1.0,0,1
Certified Reading Intervention,1,5,1.0,1,1
Tableau,5,5,1.0,5,1
MBLEX,0,5,1.0,0,1
Autodesk Revit,0,5,1.0,0,1
Vocal Training,5,5,1.0,5,1
AP Physics C: Electricity and Magnetism,2,5,1.0,2,1
ACCUPLACER ESL - Reading Skills,1,5,1.0,1,1
COMPASS,0,5,1.0,0,1
Fluid Mechanics,0,5,1.0,0,1
Wordpress,0,5,1.0,0,1
Abstract Algebra,1,5,1.0,1,1
Computer Game Design,3,5,1.0,3,1
Quantitative Reasoning,0,5,1.0,0,1
Quantum Physics,0,5,1.0,0,1
French Immersion,0,5,1.0,0,1
STAAR Grades 3-8,0,4,0.8,0,1
FAA,0,4,0.8,0,1
CompTIA Security+,0,4,0.8,0,1
Advertising,0,4,0.8,0,1
NREMT,0,4,0.8,0,1
Police Officer Exam,0,4,0.8,0,1
Real Analysis,0,4,0.8,0,1
Logic,0,4,0.8,0,1
AP Seminar,0,4,0.8,0,1
Series 66,1,4,0.8,1,1
Robotics,0,4,0.8,0,1
Heat Transfer,0,4,0.8,0,1
DAT Perceptual Ability,0,4,0.8,0,1
Molecular Biology,0,4,0.8,0,1
GMAT,4,4,0.8,4,1
Quantum Mechanics,1,4,0.8,1,1
Computer Networks,0,4,0.8,0,1
Sketchup,0,4,0.8,0,1
GRE Verbal,1,4,0.8,1,1
DAT,2,4,0.8,2,1
COMLEX,0,4,0.8,0,1
Greek,0,4,0.8,0,1
DAT Reading Comprehension,0,4,0.8,0,1
Rhino,1,4,0.8,1,1
Linux,1,4,0.8,1,1
Russian,0,4,0.8,0,1
Legal Writing,2,4,0.8,2,1
CPA REG,0,4,0.8,0,1
DAT Survey of the Natural Sciences,0,4,0.8,0,1
IB Global Politics,0,4,0.8,0,1
Singing,0,4,0.8,0,1
Theology,0,4,0.8,0,1
CPA BEC,0,4,0.8,0,1
Criminal Law,4,4,0.8,4,1
COMPASS Mathematics,0,4,0.8,0,1
Songwriting,0,4,0.8,0,1
IB Physics,0,4,0.8,0,1
GRE Analytical Writing,1,4,0.8,1,1
Japanese,1,4,0.8,1,1
British History,0,4,0.8,0,1
VTNE,1,4,0.8,1,1
Animation,0,4,0.8,0,1
Project Management/PMP,4,4,0.8,4,1
PRAXIS Art,0,3,0.6,0,1
NAPLEX,1,3,0.6,1,1
CLEP Introduction to Educational Psychology,0,3,0.6,0,1
Autodesk Fusion 360,0,3,0.6,0,1
Autodesk Maya,1,3,0.6,1,1
Tort Law,2,3,0.6,2,1
Histology,0,3,0.6,0,1
CLEP Introductory Psychology,0,3,0.6,0,1
AP Studio Art: 3-D Design,0,3,0.6,0,1
PRAXIS Core Reading,15,3,0.6,15,1
IB Mathematics: Applications and Interpretation,0,3,0.6,0,1
Introduction to Fiction,0,3,0.6,0,1
Cardiology,0,3,0.6,0,1
Calculus and Vectors,1,3,0.6,1,1
Mandarin Chinese 3,0,3,0.6,0,1
Roblox,0,3,0.6,0,1
Printmaking,0,3,0.6,0,1
PRAXIS Content Math,13,3,0.6,13,1
Series 65,1,3,0.6,1,1
Voice,0,3,0.6,0,1
Foundations for College Mathematics,0,3,0.6,0,1
Entomology,1,3,0.6,1,1
Immunology,0,3,0.6,0,1
Human Geography,10,3,0.6,10,1
C#,0,3,0.6,0,1
AFOQT,0,3,0.6,0,1
Minecraft,1,3,0.6,1,1
NCLEX-PN,0,3,0.6,0,1
Canadian French Language Proficiency,0,3,0.6,0,1
CISSP,0,3,0.6,0,1
CLEP Social Sciences and History,0,3,0.6,0,1
European History,0,3,0.6,0,1
PANCE,0,3,0.6,0,1
TEFL,0,3,0.6,0,1
ACCUPLACER ESL - Sentence Meaning,0,3,0.6,0,1
Operating Systems,0,3,0.6,0,1
Managerial Economics,0,3,0.6,0,1
Biomechanics,0,3,0.6,0,1
Fluid Dynamics,0,3,0.6,0,1
Astronomy,0,3,0.6,0,1
Electrical and Computer Engineering,0,3,0.6,0,1
German 2,1,3,0.6,1,1
DAT Quantitative Reasoning,0,3,0.6,0,1
SPSS Statistic Software,0,3,0.6,0,1
Science Substitute,0,3,0.6,0,1
Audition Prep,0,3,0.6,0,1
Zoology,0,3,0.6,0,1
PSAT Reading and Writing,0,3,0.6,0,1
International Business,0,3,0.6,0,1
Emergency Medicine,0,3,0.6,0,1
Biomedical Engineering,1,3,0.6,1,1
Econometrics,1,3,0.6,1,1
Materials Science,0,3,0.6,0,1
GRE Quantitative,1,3,0.6,1,1
British Literature,0,3,0.6,0,1
Marine Biology,1,2,0.4,1,1
Microeconomics (in French),0,2,0.4,0,1
R Programming,0,2,0.4,0,1
IB Mathematics: Analysis and Approaches,1,2,0.4,1,1
PRAXIS Core Writing,14,2,0.4,14,1
IB Philosophy,0,2,0.4,0,1
Enrichment,2,2,0.4,2,1
CompTIA A+,1,2,0.4,1,1
German 3,1,2,0.4,1,1
Women's studies,0,2,0.4,0,1
AP Italian Language and Culture,0,2,0.4,0,1
ACCUPLACER ESL - Listening,1,2,0.4,1,1
Dance,0,2,0.4,0,1
Plant Biology,1,2,0.4,1,1
Visual Basic,0,2,0.4,0,1
Macroeconomics (in French),0,2,0.4,0,1
CCNA,1,2,0.4,1,1
Classics,0,2,0.4,0,1
Civil and Environmental Engineering,0,2,0.4,0,1
Complex Analysis,0,2,0.4,0,1
Violin,1,2,0.4,1,1
Drum and Percussion,0,2,0.4,0,1
Virology,0,2,0.4,0,1
Computer Architecture,0,2,0.4,0,1
FTCE,0,2,0.4,0,1
CLEP Human Growth and Development,0,2,0.4,0,1
IB Language A: Literature,8,2,0.4,8,1
Molecular Genetics,0,2,0.4,0,1
Audio Engineering,0,2,0.4,0,1
IB Psychology,5,2,0.4,5,1
Yoga,0,2,0.4,0,1
Urban Design and Development,0,2,0.4,0,1
CLEP English Literature,0,2,0.4,0,1
IB Computer Science,2,2,0.4,2,1
IB Economics,0,2,0.4,0,1
IB Music,1,2,0.4,1,1
IB History,0,2,0.4,0,1
Differential Calculus,0,2,0.4,0,1
Geology,0,2,0.4,0,1
Differential Equations (in French),0,2,0.4,0,1
German 4,1,2,0.4,1,1
Tagalog,0,2,0.4,0,1
African History,0,2,0.4,0,1
Developmental Biology,0,2,0.4,0,1
Certified Medical Assistant Exam,0,2,0.4,0,1
GRE,21,2,0.4,21,1
Real Estate License,1,2,0.4,1,1
ARRT - Radiography,0,2,0.4,0,1
IB Further Mathematics,1,2,0.4,1,1
Supply Chain Management,0,2,0.4,0,1
Medical Ethics,0,2,0.4,0,1
Social Studies Substitute,0,2,0.4,0,1
CLEP Natural Sciences,0,2,0.4,0,1
Social Networking,0,2,0.4,0,1
IB French,0,2,0.4,0,1
Gastroenterology,0,2,0.4,0,1
ReactJS,0,2,0.4,0,1
PTCE,0,2,0.4,0,1
Mathematics for College Technology,0,2,0.4,0,1
American Council on Exercise,0,2,0.4,0,1
Medieval Literature,0,2,0.4,0,1
IB Literature and Performance,0,2,0.4,0,1
Reading Comprehension (in French),0,2,0.4,0,1
STAAR EOC,0,2,0.4,0,1
Mathematica,0,2,0.4,0,1
Bioinformatics,1,2,0.4,1,1
Thermochemistry,0,2,0.4,0,1
FE - Civil Engineering,0,2,0.4,0,1
AWS Certified Cloud Practitioner,0,2,0.4,0,1
LMSW - Licensed Master Social Worker,0,2,0.4,0,1
Evidence,0,2,0.4,0,1
CLEP Financial Accounting,0,2,0.4,0,1
Viral Content Creation,0,2,0.4,0,1
CFP,0,2,0.4,0,1
Economics (in French),0,2,0.4,0,1
Drum,0,2,0.4,0,1
Linear Programming,0,2,0.4,0,1
CPA AUD,0,2,0.4,0,1
IB Geography,0,2,0.4,0,1
Latin America History,0,2,0.4,0,1
COTA,0,1,0.2,0,1
Percussion,0,1,0.2,0,1
Graduate Level Chemistry,0,1,0.2,0,1
Genetic Engineering,0,1,0.2,0,1
ACT Aspire,0,1,0.2,0,1
GMAT Verbal Reasoning,0,1,0.2,0,1
Trigonometry (in French),0,1,0.2,0,1
Series 4,0,1,0.2,0,1
Pre-Calculus (in French),0,1,0.2,0,1
CLEP Analyzing and Interpreting Literature,0,1,0.2,0,1
Cryptography,0,1,0.2,0,1
Intellectual Property Law,0,1,0.2,0,1
SolidWorks,0,1,0.2,0,1
Hand Drums,0,1,0.2,0,1
CFA - Level 2,0,1,0.2,0,1
Graduate Level Biology,1,1,0.2,1,1
PRAXIS Core Math,0,1,0.2,0,1
Nuclear Chemistry,0,1,0.2,0,1
ARRT - Breast Sonography,0,1,0.2,0,1
Physics 12,0,1,0.2,0,1
CLEP Chemistry,0,1,0.2,0,1
AP Spanish Literature and Culture,0,1,0.2,0,1
Accounting (in French),0,1,0.2,0,1
Xylophone,0,1,0.2,0,1
Canadian History,0,1,0.2,0,1
Upright Bass,0,1,0.2,0,1
PE - Mechanical - HVAC and Refrigeration,0,1,0.2,0,1
GMAT Data Insights,0,1,0.2,0,1
Non-Euclidean Geometry,0,1,0.2,0,1
API,0,1,0.2,0,1
Turkish,0,1,0.2,0,1
Blender,0,1,0.2,0,1
Elementary School Math (in French),0,1,0.2,0,1
Chemistry (in French),0,1,0.2,0,1
CLEP Spanish,0,1,0.2,0,1
ARRT - Radiation Therapy,1,1,0.2,1,1
Certified ScrumMaster,0,1,0.2,0,1
CEH,0,1,0.2,0,1
CCNP,0,1,0.2,0,1
Beatbox,0,1,0.2,0,1
Ceramics,0,1,0.2,0,1
MAP,0,1,0.2,0,1
AP Latin,0,1,0.2,0,1
