Subject,Tutor_Hours_Util_Pct
CMT,2.671875
CPPA,1.796875
CPFA,1.6442307692307692
CDR,1.4348958333333333
BONENT,1.4267644464285714
RPVI,1.421875
ChFC,1.41015625
CGEIT,1.3984375
MPJE - Maryland,1.2441964285714284
MPJE - Georgia,1.2441964285714284
CTRS,1.176549141025641
ERB CPAA,1.1510416625
BPS,1.1432291666666667
CDCA,1.09375
NASAA,1.0814732142857142
SOA,0.9984939759036144
MPJE - New York,0.9728009166666668
CAIA Level I,0.9633152173913044
MPJE - Illinois,0.9614583333333332
PE - Principles and Practice of Engineering - Civil - Geotechnical,0.9467011984732824
Series 72,0.9427083333333334
C2,0.9338107604166668
CDL,0.9078481643835616
FE - Chemical Engineering,0.8895457905405404
CBCMR,0.8880208333333334
PE - Civil - Transportation,0.8787629931034483
NCHEC,0.8746977265625
ABQAURP,0.8644547283950617
PE - Civil - Water Resources and Environmental,0.8567580484848486
NCTRC,0.8326612903225806
PE - Environmental,0.8306598050847458
CLS,0.8238224619565218
ABPS,0.8236607142857143
ABS,0.8236607142857143
AEA,0.8236607142857143
IBSC,0.8236607142857143
Series 14A  - NYSE DMM Compliance Official Examination,0.8236607142857143
Series 32,0.8236607142857143
Series 39,0.8236607142857143
RICP,0.8236607142857143
NASBA,0.8236607142857143
NRCA,0.8236607142857143
ABONCLE,0.8236607142857143
Series 44  - NYSE Arca Options Market Maker Exam,0.8236607142857143
CBCCT,0.8236607142857143
Series 38,0.8236607142857143
Series 62,0.8236607142857143
SOPD,0.8236607142857143
IBHRE,0.8236607142857143
PS Exam,0.8236607142857143
ABOS,0.8236607142857143
ABOMS,0.8236607142857143
RMSK,0.8236607142857143
Series 12  - NYSE Branch Manager,0.8236607142857143
Series 42,0.8236607142857143
CBNC,0.8236607142857143
IFMA,0.8236607142857143
AAOMS,0.8236607142857143
Series 14,0.8236607142857143
NSAA,0.8236607142857143
Series 37,0.8236607142857143
Series 17,0.8236607142857143
RESNA,0.8236607142857143
NRCME,0.8236607142857143
CLU,0.8236607142857143
ABMGG,0.8236607142857143
AU-S,0.8236607142857143
Series 11,0.821817125
NBCE,0.8191964285714286
AFSP,0.8120265113636363
ARDMS - RDMS - Pediatric Sonogrophy  (PS),0.8108974358974359
ERB CTP,0.8104641628664495
AAPC,0.7998310743243243
FSBPT,0.7986111111111112
AU-M,0.7959558823529411
SAEE,0.7888888814814815
FE - Environmental Engineering,0.7848858608247422
IBEW,0.7775451397849463
NBDE,0.7713068181818182
PE - Principles and Practice of Engineering - Civil - Construction,0.7693185029940119
MPJE - Massachusetts,0.7609374999999999
MPJE - Louisiana,0.7609374999999999
MPJE - South Carolina,0.7609374999999999
MPJE - Michigan,0.7609374999999999
ARDMS - RMSKS - Muscularskeletal Sonogrophy (MSKS),0.7552083333333334
ASHI,0.7517361111111112
Romanian,0.7514124237288136
ERB WrAP,0.7469639798994976
MCAT Critical Analysis and Reasoning Skills,0.74609375
ACRP,0.7428463855421686
Series 65,0.7396673618906942
K12-Substitute-AdvancedCapoeira,0.7374342882882883
IC&RC,0.7373826197183099
ABPM,0.7324652749999999
MTC,0.7310975609756097
NCCAA,0.7298177083333334
CLM,0.7239583333333334
SPPA,0.7230902777777778
NEHA,0.720703125
NBE,0.7137096774193549
Series 6,0.7110880095419847
College Advising,0.7109375
PNCB,0.70833333
NEIEP,0.7065972222222222
CTP,0.703125
CFP,0.7022216967509025
PE - Electrical and Computer - Computer Engineering,0.6992661907894737
ICVA,0.6986301369863014
Series 31,0.6983901363636363
Exam STAM - Short-Term Actuarial Mathematics,0.6965859030837004
ABIM Exam,0.6947879787985866
PTA,0.693359375
NFPA,0.6882715925925926
CAE,0.6875
CMA,0.6836349909502263
KLCP,0.6805555555555556
Accordion,0.6789434464285715
Series 30,0.6788194444444444
Series 23,0.6775568181818182
PE - Civil - Structural,0.6766091043956044
Series 63,0.6754351376451079
API,0.6753144591194968
AFOQT,0.6748637103960397
American Council on Exercise,0.6744541980830671
FOM,0.671875
Accounting (in French),0.6686966647398844
AVA,0.6684027777777778
ARDMS - RDMS - Breast (BR),0.6658653846153846
Series 52,0.6648936170212766
Series 51,0.6644021739130435
Statics and Dynamics (in French),0.6640625
CSRM,0.6618589743589743
CBEST,0.6599650317460317
HWCCP,0.6595798565022422
ABPTS,0.6552083333333333
Series 79,0.655106387978142
ARDMS - RDCS - Pediatric Echocardiography (PE),0.6545138888888888
ARDMS - RDMS - Fetal Echocardiography (FE),0.6545138888888888
Series 66,0.6533505110456553
CPIM,0.6529380288461539
Series 87,0.6513157894736842
NBPME,0.6504629629629629
COTA,0.6486451519607843
ARRT - Breast Sonography,0.648364476635514
Police Officer Exam,0.6477100350318472
SSA,0.6458333333333334
ACSM,0.6451530571428572
Series 56 - Proprietary Trader Qualification Exam,0.6444174660194175
Series 27,0.6425233644859814
VTNE,0.6417410714285714
FACHE,0.640625
ABCOP,0.640625
IAHCSMM,0.640625
ABCGN,0.640625
CBIC,0.640625
SE Exam,0.640625
CCHI,0.640625
CPC,0.6399801571428572
FTCE,0.6382131901489119
Series 47  - Japanese Module of the General Securities Exam,0.637987012987013
Exam LTAM - Long-Term Actuarial Mathematics,0.6371466395759717
OAE,0.6346389648241206
ARDMS - RDCS - Adult Echocardiography (AE),0.6276041597222223
MTEL,0.6255225478547854
ARDMS - RDMS - Obstetrics and Gynecology  (OB/GYN),0.6247559128630705
FCAT 2.0,0.6235234761904762
AIFA,0.6225328881578948
CSET,0.6194238378870675
ANCC - Nursing Case Management Certification (CMGT),0.6191666666666666
ISEE-Upper Level Reading Comprehension,0.6173210631892698
SIE,0.6128580794491526
Series 7  - General Securities Representative Exam (Stockbroker),0.6117592540540541
FRT,0.6102642256097561
PRAXIS Social Studies,0.6096023129310345
TAP,0.6094653121387283
Engineering Economics,0.6092261857142857
ISEE-Middle Level Reading Comprehension,0.6088905214412585
Florida EOC Assessment,0.6088475890603086
PRAXIS Science,0.6070245668508287
AVMA,0.6067518248175182
OAT Quantitative Reasoning ,0.6061496209850107
CST Surgical Tech Exam,0.6027462121212122
OAR,0.60219791
CDR Exam,0.6020833333333333
ASTB,0.6016865059523809
AOA,0.6015625
MPJE - Texas,0.6011384262295082
ACCUPLACER WritePlacer ,0.6007519975913288
IB Social and Cultural Anthropology,0.6007108884462151
Series 86,0.5982669557522124
FE - Fundamentals of Engineering - Other Disciplines,0.5969405789473684
CIC,0.5951704545454546
Series 15  - Foreign Currency Options Exam,0.5949519230769231
Managerial Economics,0.594228716080402
CAHSEE English,0.5941853208955225
FE - Civil Engineering,0.593703243678161
WMCP,0.5919811320754716
RD exam,0.5905032386363636
RICA,0.5901094242424242
Insurance License,0.5868409304761906
Series 82,0.586472602739726
Exam P - Probability,0.5839884999999999
ANCC - Pediatric Nursing Certification (PED),0.5826065813953488
NCSF,0.58203125
ACT Aspire,0.5820129321323838
Series 10,0.5814814801587301
PRAXIS Special Education,0.5813822301101591
Series 57,0.5811111111111111
Series 5  - Interest Rate Options Exams,0.5809659090909091
MPJE - Florida,0.5798192771084337
Exam PA - Predictive Analytics,0.579816012987013
Series 7,0.5782807759506681
CLEP American Literature,0.5772006358164034
Assembly language,0.576979749216301
IB Geography,0.5769702642585551
ISEE-Lower Level Reading Comprehension,0.5767717638410291
AP Comparative Government and Politics,0.5764588321440707
California Proficiency Program (CPP),0.5757033524185587
ASVAB,0.5755645539134056
IB World Religions,0.5753488599577762
IB Further Mathematics,0.5751073496533795
ISSA,0.5750425119047619
Mathematics for College Technology,0.5748414394904459
PRAXIS English,0.5737283765312702
FRM,0.5733173076923077
ARDMS - RVT - Vascular Technologies (VT),0.5709134615384616
Certified Medical Assistant Exam,0.5708905801526718
HSPT,0.569974208652793
CAHSEE,0.5678118509316771
ACCUPLACER ESL - Sentence Meaning,0.5676543762945915
ACCUPLACER ESL,0.5663613169398908
ACCUPLACER Writing,0.5654954226327945
COMPASS Reading,0.5654470107108082
CogAT,0.5652501086036671
Series 16,0.565068493150685
PRAXIS Health/Physical Education,0.5632856335403726
Eleven Plus English,0.5632455103652518
Foundations for College Mathematics,0.5629896055194805
Archaeology,0.5623075149456522
HSPT Language Skills,0.5618255488257108
ISEE- Upper Level,0.5616792425950486
"Sports, Exercise and Health Science",0.5615390169194866
ISEE- Middle Level,0.561087224551874
CAIA Level II,0.5597222222222222
Series 99,0.5596153846153846
SHSAT,0.5570785198094282
Lindamood-Bell,0.5561282402597403
College Level American Literature,0.5561231598448945
PRAXIS Content Math,0.5559728144246354
CIA,0.5557597990196078
CLEP American Government,0.5549882189655172
HSPT Math,0.5548238365152919
Firefighter Exam,0.5542294773869347
PE - Architectural,0.5539772727272727
African History,0.5535836339097427
TESOL,0.553208124877411
DAT Reading Comprehension,0.5529617054054055
Lua,0.5526273333333334
Finite Mathematics,0.5518968373333333
MSNCB,0.5516826923076923
SSAT- Upper Level,0.5511995929765179
ACCUPLACER Reading,0.5505636970319635
PE - Mechanical - HVAC and Refrigeration,0.5500851962025316
ACCUPLACER ESL - Listening,0.5497426938250429
HSPT Verbal,0.5490394026197862
Differential Calculus,0.5486335622317596
Chemical Engineering,0.5481939126963002
COMPASS Writing Skills,0.5479572678132678
PRAXIS Core Reading,0.5477148775671405
HSPT Reading,0.5476851905794856
GRE Analytical Writing,0.5475059497597204
STAAR Grades 3-8,0.5472908811789278
Complex Analysis,0.5469053139931741
SCOR-P,0.546875
Anthropology,0.5468259862322167
ACCUPLACER Sentence Skills,0.5467274920149507
Series 28,0.5462328767123288
PRAXIS Core Writing,0.5460092749537893
ISEE- Lower Level,0.5458623224502819
ISEE-Upper Level Verbal Reasoning,0.5458240374384237
SSAT- Middle Level,0.5457375968516245
Real Analysis,0.5456043539325843
Exam FM - Financial Mathematics,0.5452664452054795
Discrete Structures,0.545073155737705
"PE - Electrical and Computer - Electronics, Controls, and Communications",0.5449350460526317
CCI,0.5448190789473685
ANCC - Nursing Professional Development Certification (NPD),0.5447916666666667
LSAT Reading Comprehension,0.5446889654050857
CLTD,0.5440340909090909
IB Theory of Knowledge,0.5439463691967575
ISEE-Upper Level Quantitative Reasoning,0.5433050519514767
Series 55,0.5430871136363636
ARDMS - Sonography Principals and Instruments (SPI),0.5429347826086957
FINRA,0.5427777777777778
MSS,0.542572463768116
Corporate Finance,0.5424656919431279
TACHS,0.5422115778644909
