Subject,Actual_Contracted,Auto_Assignable,Opps_Responded,Assigns
Fiction Writing,1,0,8,3
Filmmaking,2,2,2,1
Financial Accounting,2,1,1,0
Flute,1,0,0,0
French,1,1,0,0
French 1,3,1,0,0
French 2,2,1,0,0
French 3,1,0,0,0
French 4,1,0,0,0
Functions,2,0,0,0
GED,3,2,8,3
GED Reasoning Through Language Arts,2,2,8,3
GED Science,1,1,0,0
GRE,1,0,1,0
Gender Studies,1,0,7,0
General Chemistry 2,3,0,34,8
Genetics,7,2,113,34
Genomics,1,0,77,10
Geometry,24,3,91,25
Government,5,5,3,1
Grade 10 Math,6,1,81,12
Grade 11 Math,2,0,0,0
Grade 11 Physics,3,0,7,1
Grade 12 Chemistry,1,0,21,3
Grade 12 Physics,2,0,0,0
Grade 9 Math,7,0,82,12
Graduate Level Accounting,1,1,0,0
Graduate Program Application Essay,1,0,77,10
Graduate Test Prep,3,2,26,15
Graduate-level writing,1,0,8,3
Graphic Design,2,2,1,1
HESI,1,0,0,0
HSPT,3,3,13,7
HSPT Language Skills,1,1,6,4
HSPT Math,2,2,6,4
HSPT Quantitative,2,2,6,4
HSPT Reading,2,2,13,7
HSPT Verbal,1,1,6,4
HTML,4,1,1,1
Handwriting,15,0,18,6
High School Accounting,1,1,0,0
High School Applications,1,0,77,10
High School Biology,26,17,162,55
High School Business,2,2,2,1
High School Chemistry,29,7,155,41
High School Computer Science,7,1,7,1
High School English,34,16,179,27
High School Geography,4,0,7,1
High School Government,8,2,3,1
High School Level American History,8,2,4,3
High School Physics,5,2,17,2
High School Political Science,1,0,2,1
High School Reading,10,1,22,5
High School Science,8,4,7,6
High School World History,9,2,9,3
High School Writing,39,17,189,30
History,6,5,1,0
IB Biology,5,1,18,11
IB Chemistry,2,0,19,9
IB Mathematics: Analysis and Approaches,1,0,0,0
IB Mathematics: Applications and Interpretation,1,0,7,3
ISEE,4,4,21,10
ISEE- Lower Level,2,2,6,4
ISEE- Middle Level,2,2,6,4
ISEE- Upper Level,2,2,6,4
ISEE-Lower Level Mathematics Achievement,2,2,6,4
ISEE-Lower Level Quantitative Reasoning,2,2,6,4
ISEE-Lower Level Reading Comprehension,2,2,13,7
ISEE-Lower Level Verbal Reasoning,1,1,6,4
ISEE-Middle Level Mathematics Achievement,2,2,6,4
ISEE-Middle Level Quantitative Reasoning,2,2,6,4
ISEE-Middle Level Reading Comprehension,1,1,6,4
ISEE-Middle Level Verbal Reasoning,2,2,14,7
ISEE-Upper Level Mathematics Achievement,2,2,6,4
ISEE-Upper Level Quantitative Reasoning,2,2,6,4
ISEE-Upper Level Reading Comprehension,1,1,6,4
ISEE-Upper Level Verbal Reasoning,2,2,14,7
Inorganic Chemistry,3,1,24,15
Insurance License,1,1,7,3
Intermediate Web Design,1,0,7,0
International Human Rights,1,0,0,0
Interview Prep,1,0,77,10
Italian,1,0,0,0
Japanese,1,1,0,0
Java,4,1,0,0
JavaScript,3,0,0,0
Journalism,1,1,7,0
Kindergarten English,1,0,2,2
Kindergarten Readiness,7,2,2,1
Kindergarten Reading,1,0,2,2
LSAT,5,1,58,25
LSAT Argumentative Writing,2,1,20,11
LSAT Logical Reasoning,3,1,20,11
LSAT Reading Comprehension,2,1,20,11
Lab Report Writing,1,0,8,3
Languages,10,7,16,5
Late Elementary Reading Comprehension,1,0,2,1
Latin,1,1,2,2
Latin 1,1,1,2,2
Latin 2,1,0,2,2
Latin 4,1,0,2,2
Law,3,3,0,0
Law School Application Essays,1,0,0,0
Learning Differences,5,4,11,5
Learning Disability,1,0,2,1
Legal Writing,4,3,2,1
Life Sciences,6,1,103,21
Linear Algebra,3,0,4,2
Linguistics,2,1,1,0
Literature,2,1,28,5
MCAT,3,3,17,14
MCAT Biological and Biochemical Foundations of Living Systems,2,1,17,14
MCAT Chemical and Physical Foundations of Biological Systems,2,2,17,14
"MCAT Psychological, Social, and Biological Foundations of Behavior",2,2,17,14
Mac Basic Computer Skills,5,0,1,1
Machine Learning,1,1,10,5
Macroeconomics,2,0,1,1
Management,7,2,7,2
Marketing,3,2,0,0
Math,50,43,298,49
Math 1,4,0,0,0
Math 2,3,0,0,0
Media History,1,0,7,0
Media Studies,1,0,7,0
Medical Terminology,5,4,2,2
Medicine,6,6,2,2
Mendelian Genetics,1,0,77,10
Microbiology,8,2,47,32
Microeconomics,2,0,1,1
Microsoft Excel,8,4,4,1
Microsoft Office,10,5,4,1
Microsoft Power BI,2,1,0,0
Microsoft Word,7,0,2,1
Middle School,2,1,7,1
Middle School English,24,14,183,28
Middle School Math,43,20,381,68
Middle School Physics,1,1,7,1
Middle School Reading,28,16,112,21
Middle School Reading Comprehension,14,3,34,8
Middle School Science,35,29,192,60
Middle School Social Studies,8,6,1,0
Middle School Writing,37,18,198,33
Molecular Genetics,1,0,77,10
Multivariable Calculus,3,0,13,6
Music,4,2,20,1
Music Education,2,0,0,0
Music Fundamentals,1,0,0,0
Music History,2,0,0,0
Music Theory,2,2,0,0
NCLEX,1,0,0,0
NCLEX-PN,1,0,0,0
NCLEX-RN,3,2,0,0
NREMT,1,0,1,1
Narrative Writing,1,0,8,3
Neuroscience,3,0,84,14
Nursing,2,1,0,0
Organic Chemistry,9,4,44,24
Organic Chemistry 2,3,0,17,6
Organizational Leadership,1,0,0,0
Orton Gillingham,1,1,0,0
Other,15,12,26,5
PANCE,1,0,11,8
PC Basic Computer Skills,10,1,5,3
PRAXIS,2,1,0,0
PRAXIS Music,2,1,0,0
PSAT,4,4,54,22
PSAT Reading and Writing,1,0,8,3
PSAT Writing Skills,2,0,8,3
Painting,3,2,1,1
Pathology,1,1,2,2
Pathophysiology,6,2,17,11
Performing Arts,2,2,2,1
Persuasive Writing,1,0,8,3
Pharmacology,6,1,28,19
Philosophy,2,1,2,2
Phonics,24,15,90,19
Photography,1,0,7,0
Photoshop,1,1,1,1
Physical Science,4,2,7,1
Physics,3,3,7,1
Physics 11,1,0,7,1
Physics 2,1,0,0,0
Piano,1,0,20,1
Political Science,4,2,4,1
Population Genetics,1,0,77,10
Portuguese,2,0,8,0
Pre-Algebra,27,16,267,40
Pre-Calculus,19,2,153,33
Presentation Skills,3,1,4,2
Private High School Application Essays,1,0,77,10
Probability,3,0,14,7
Productivity,6,6,3,1
Professional Certifications,11,8,17,7
Programming Languages,5,5,10,5
Psychoanalysis,1,0,0,0
Psychologies,10,6,109,16
Psychology,15,6,99,19
Psychopathology,1,0,0,0
Public Speaking,3,2,3,0
Python,4,1,10,5
Quickbooks,1,0,2,2
Reading,24,22,106,19
Reading Comprehension,1,0,7,0
Reading Fundamentals: Phonics and Decoding,1,0,2,2
Reading Intervention,2,1,2,1
