Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
Geometry,29.0,19,35.0,-35.0,72.0,155,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,23.0,,,,,,,15.0,15.0,1323.0,1078.0,62.0,62.5,82.0,down,-19.5,32.0,20.0,5.0,98.0,28.0,3.03333,8.08333,21.15,25.99,44.905888181438904,High School,HIGH,36,12,3.22,18.12,Healthy,On Track,['idle_pool'],On Track
AP Calculus AB,13.0,18,16.0,37.0,-34.0,73,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,13.0,10.0,12.0,25.0,26.0,25.0,15.0,,,,,,,14.0,8.0,636.0,529.0,71.0,70.6,83.5,down,-12.9,17.0,12.0,1.0,37.0,14.0,2.349995,6.8,21.03333,34.899998,43.62032009817542,AP,HIGH,36,12,5.13,18.68,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
College Chemistry,11.0,14,13.0,29.0,-22.0,78,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,14.0,,,,,,,10.0,10.0,442.0,349.0,50.0,50.0,80.3,down,-30.3,20.0,10.0,5.0,89.0,41.0,1.641665,5.46666,15.24166,25.419994,44.68303253057384,College,HIGH,36,12,4.65,13.6,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
Middle School Reading,92.0,12,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,,,,,,,,14.0,2199.0,1570.0,45.0,45.0,72.8,down,-27.8,111.0,50.0,18.0,114.0,22.0,0.00833,4.86666,13.85833,22.33333,44.4798862548469,Middle School,HIGH,36,12,4.59,13.85,Healthy,On Track,['idle_pool'],On Track
Organic Chemistry,9.0,12,11.0,33.0,-21.0,75,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,11.0,,,,,,,1.0,9.0,306.0,248.0,80.0,80.0,81.1,flat,-1.1,5.0,4.0,4.0,49.0,26.0,0.5374975,5.06666,17.679165,24.021661,44.65854871439569,College,HIGH,36,12,4.74,17.14,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
Executive Functioning,15.0,8,18.0,-46.0,48.0,184,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,,,,,,,9.0,5.0,435.0,334.0,45.0,45.0,78.3,down,-33.3,20.0,9.0,3.0,9.0,4.0,0.56666,3.2,12.25833,26.12666,52.44992015485687,Other,MEDIUM,48,12,8.16,11.69,Healthy,On Track,[],On Track
High School Biology,36.0,10,43.0,-72.0,182.0,360,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,,,,,,,31.0,2.0,980.0,716.0,47.0,46.9,74.9,down,-28.0,64.0,30.0,18.0,166.0,56.0,1.08333,5.26666,14.75833,24.0,42.21157657976314,High School,MEDIUM,48,12,4.56,13.68,Healthy,On Track,['idle_pool'],On Track
Statistics,12.0,12,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,11.0,,,,,,,12.0,9.0,587.0,494.0,67.0,66.7,84.8,down,-18.1,21.0,14.0,5.0,232.0,57.0,0.8833275,4.96666,12.53333,21.02833,45.70407780283368,College,HIGH,36,12,4.23,11.65,Healthy,On Track,['idle_pool'],On Track
High School Physics,12.0,10,14.0,-15.0,13.0,118,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,14.0,14.0,14.0,9.0,,,,,,,6.0,2.0,736.0,604.0,56.0,55.6,82.4,down,-26.8,9.0,5.0,3.0,17.0,2.0,3.141665,8.216665,17.4958275,24.0,43.48291720343839,High School,MEDIUM,48,12,2.92,14.35,Healthy,On Track,['idle_pool'],On Track
College Application Essays,35.0,8,42.0,-76.0,186.0,415,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,,,,,,,,27.0,1.0,672.0,507.0,36.0,35.7,78.1,down,-42.4,42.0,15.0,5.0,117.0,20.0,0.5374975,5.58333,11.24583,33.88333,44.37149184805213,College,MEDIUM,48,12,6.07,10.71,Healthy,On Track,['idle_pool'],On Track
Elementary School Writing,107.0,8,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,,,,,,,,8.0,2596.0,1849.0,43.0,43.1,72.7,down,-29.6,130.0,56.0,20.0,197.0,32.0,2.2125,5.45833,18.849995,41.011666,43.769624890505085,Elementary,MEDIUM,48,12,7.51,16.64,Healthy,On Track,['idle_pool'],On Track
AP Chemistry,12.0,7,14.0,-40.0,34.0,168,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,,,,,,,8.0,7.0,491.0,394.0,67.0,66.7,80.7,down,-14.0,15.0,10.0,4.0,52.0,28.0,1.88333,7.86666,18.43333,39.15333,43.86250867149134,AP,MEDIUM,48,12,4.98,16.55,Healthy,On Track,['idle_pool'],On Track
