Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
Executive Functioning,14.0,8.0,17.0,-42.0,41.0,172,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,9.0,5.0,726.0,344.0,47.0,On Track (Low Util),Other
High School Biology,33.0,10.0,40.0,-70.0,161.0,330,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,31.0,2.0,2329.0,1022.0,44.0,On Track (Low Util),High School
Statistics,12.0,12.0,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,12.0,9.0,1020.0,581.0,57.0,On Track,College
High School Physics,8.0,10.0,10.0,27.0,-15.0,79,True,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,8.0,6.0,7.0,14.0,14.0,14.0,6.0,2.0,1863.0,906.0,49.0,Possible Placement Issue,High School
College Application Essays,36.0,8.0,43.0,-77.0,193.0,427,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,27.0,1.0,2183.0,927.0,42.0,On Track (Low Util),College
Elementary School Writing,107.0,8.0,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,,8.0,8000.0,2713.0,34.0,On Track (Low Util),Elementary
AP Chemistry,10.0,7.0,12.0,-29.0,20.0,140,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,9.0,9.0,9.0,8.0,7.0,894.0,522.0,58.0,On Track,AP
Middle School Science,61.0,6.0,73.0,-89.0,382.0,949,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,,10.0,3553.0,1495.0,42.0,On Track (Low Util),Middle School
College Biology,16.0,8.0,19.0,-48.0,54.0,193,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,11.0,5.0,1158.0,563.0,49.0,On Track (Low Util),College
LSAT,3.0,9.0,4.0,210.0,-44.0,32,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,2.0,22.0,235.0,113.0,48.0,Possible Placement Issue,Test Prep
Coding,15.0,6.0,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,,6.0,928.0,420.0,45.0,On Track (Low Util),College
Handwriting,18.0,5.0,22.0,-71.0,90.0,350,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,,6.0,580.0,265.0,46.0,On Track (Low Util),Elementary
Elementary School English,97.0,7.0,116.0,-93.0,633.0,1476,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,,7.0,9883.0,3399.0,34.0,On Track (Low Util),Elementary
AP Physics 1,8.0,5.0,10.0,-34.0,19.0,151,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,5.0,1.0,845.0,516.0,61.0,On Track,AP
AP Calculus BC,4.0,7.0,5.0,68.0,-19.0,60,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,4.0,5.0,4.0,9.0,10.0,9.0,4.0,3.0,723.0,446.0,62.0,True Supply Problem,AP
AP Human Geography,2.0,5.0,2.0,171.0,-24.0,37,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,293.0,103.0,35.0,Possible Placement Issue,AP
Spanish 1,15.0,6.0,18.0,-59.0,62.0,244,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,14.0,1.0,1754.0,716.0,41.0,On Track (Low Util),Language
Spanish 2,9.0,4.0,11.0,-51.0,32.0,203,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,5.0,2.0,2033.0,764.0,38.0,On Track (Low Util),Language
AP Statistics,6.0,5.0,7.0,-19.0,8.0,124,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,1.0,567.0,374.0,66.0,On Track,AP
AP English Language and Composition,27.0,5.0,32.0,-81.0,154.0,540,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,,4.0,1174.0,468.0,40.0,On Track (Low Util),AP
Essay Editing,46.0,5.0,55.0,-89.0,287.0,920,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,,4.0,5483.0,1779.0,32.0,On Track (Low Util),Other
AP Physics C: Mechanics,2.0,5.0,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,1.0,4.0,285.0,169.0,59.0,True Supply Problem,AP
