Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category,Tier
Geometry,29.0,19.0,35.0,-35.0,72.0,155,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,23.0,,,,,,,15.0,15.0,1311.0,1070.0,66.0,65.5,82.0,down,-16.5,29.0,19.0,On Track,High School,HIGH
AP Calculus AB,13.0,18.0,16.0,37.0,-34.0,73,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,13.0,10.0,12.0,25.0,26.0,25.0,15.0,,,,,,,14.0,8.0,632.0,526.0,71.0,70.6,83.6,down,-13.0,17.0,12.0,True Supply Problem,AP,HIGH
College Chemistry,11.0,14.0,13.0,29.0,-22.0,78,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,14.0,,,,,,,10.0,10.0,433.0,343.0,50.0,50.0,80.5,down,-30.5,18.0,9.0,True Supply Problem,College,HIGH
Middle School Reading,92.0,12.0,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,,,,,,,,14.0,2181.0,1558.0,44.0,44.0,72.9,down,-28.8,109.0,48.0,Over-Supplied,Middle School,HIGH
Organic Chemistry,9.0,12.0,11.0,33.0,-21.0,75,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,11.0,,,,,,,1.0,9.0,303.0,247.0,100.0,100.0,81.3,up,18.7,3.0,3.0,True Supply Problem,College,HIGH
Executive Functioning,15.0,8.0,18.0,-46.0,48.0,184,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,,,,,,,9.0,5.0,428.0,329.0,40.0,40.0,78.7,down,-38.7,20.0,8.0,Over-Supplied,Other,MEDIUM
High School Biology,36.0,10.0,43.0,-72.0,182.0,360,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,,,,,,,31.0,2.0,967.0,712.0,48.0,48.2,75.2,down,-27.0,56.0,27.0,Over-Supplied,High School,MEDIUM
Statistics,12.0,12.0,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,11.0,,,,,,,12.0,9.0,579.0,491.0,78.0,77.8,85.0,down,-7.2,18.0,14.0,On Track,College,HIGH
High School Physics,12.0,10.0,14.0,-15.0,13.0,118,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,14.0,14.0,14.0,9.0,,,,,,,6.0,2.0,724.0,594.0,83.0,83.3,82.0,flat,1.3,6.0,5.0,On Track,High School,MEDIUM
College Application Essays,35.0,8.0,42.0,-76.0,186.0,415,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,,,,,,,,27.0,1.0,667.0,504.0,35.0,35.0,78.1,down,-43.1,40.0,14.0,Over-Supplied,College,MEDIUM
Elementary School Writing,107.0,8.0,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,,,,,,,,8.0,2580.0,1841.0,43.0,43.3,72.8,down,-29.5,127.0,55.0,Over-Supplied,Elementary,MEDIUM
AP Chemistry,12.0,7.0,14.0,-40.0,34.0,168,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,,,,,,,8.0,7.0,486.0,389.0,69.0,69.2,80.3,down,-11.1,13.0,9.0,On Track,AP,MEDIUM
Middle School Science,60.0,6.0,72.0,-89.0,375.0,933,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,,,,,,,,10.0,1474.0,1080.0,48.0,47.5,75.2,down,-27.6,101.0,48.0,Over-Supplied,Middle School,MEDIUM
College Biology,19.0,8.0,23.0,-56.0,75.0,229,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,,,,,,,11.0,5.0,542.0,415.0,58.0,57.9,77.2,down,-19.4,19.0,11.0,On Track,College,MEDIUM
LSAT,4.0,9.0,5.0,132.0,-37.0,43,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,,,,,,,2.0,22.0,101.0,79.0,100.0,100.0,77.6,up,22.4,3.0,3.0,True Supply Problem,Test Prep,MEDIUM
Coding,15.0,6.0,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,,,,,,,,6.0,339.0,256.0,55.0,54.5,77.0,down,-22.4,22.0,12.0,On Track,College,MEDIUM
Handwriting,16.0,5.0,19.0,-68.0,76.0,311,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,,,,,,,,6.0,242.0,187.0,33.0,33.3,78.4,down,-45.1,6.0,2.0,Over-Supplied,Elementary,MEDIUM
Elementary School English,92.0,7.0,110.0,-93.0,598.0,1400,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,,,,,,,,7.0,2879.0,2065.0,40.0,39.7,73.3,down,-33.6,136.0,54.0,Over-Supplied,Elementary,MEDIUM
AP Physics 1,10.0,5.0,12.0,-47.0,33.0,189,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,,,,,,,5.0,1.0,505.0,425.0,86.0,85.7,84.1,flat,1.6,7.0,6.0,On Track,AP,MEDIUM
AP Calculus BC,5.0,7.0,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,9.0,10.0,9.0,6.0,,,,,,,4.0,3.0,366.0,314.0,50.0,50.0,86.2,down,-36.2,4.0,2.0,True Supply Problem,AP,MEDIUM
AP Human Geography,3.0,5.0,4.0,81.0,-17.0,55,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,,,,,,2.0,2.0,104.0,77.0,50.0,50.0,75.0,down,-25.0,4.0,2.0,True Supply Problem,AP,MEDIUM
Spanish 1,19.0,6.0,23.0,-68.0,90.0,309,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,,,,,,,14.0,1.0,631.0,483.0,50.0,50.0,77.5,down,-27.5,22.0,11.0,On Track,Language,MEDIUM
Spanish 2,14.0,4.0,17.0,-68.0,67.0,316,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,5.0,2.0,602.0,463.0,18.0,18.2,78.0,down,-59.8,11.0,2.0,Over-Supplied,Language,MEDIUM
AP Statistics,7.0,5.0,8.0,-31.0,15.0,144,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,,,,,,,7.0,1.0,381.0,322.0,56.0,55.6,85.2,down,-29.7,9.0,5.0,On Track,AP,MEDIUM
AP English Language and Composition,31.0,5.0,37.0,-84.0,182.0,620,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,,,,,,,,4.0,550.0,396.0,49.0,49.0,74.3,down,-25.3,51.0,25.0,Over-Supplied,AP,MEDIUM
Essay Editing,56.0,5.0,67.0,-91.0,357.0,1120,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,,,,,,,,4.0,1208.0,897.0,40.0,40.0,76.4,down,-36.4,70.0,28.0,Over-Supplied,Other,MEDIUM
AP Physics C: Mechanics,2.0,5.0,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,4.0,,,,,,,1.0,4.0,146.0,122.0,84.0,,83.6,,,0.0,0.0,True Supply Problem,AP,MEDIUM
Calculus 3,3.0,5.0,4.0,62.0,-13.0,62,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,,,,,,,1.0,3.0,259.0,223.0,100.0,100.0,86.0,up,14.0,1.0,1.0,True Supply Problem,College,MEDIUM
AP Computer Science A,7.0,6.0,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,4.0,,,,,,,,4.0,203.0,163.0,33.0,33.3,81.7,down,-48.4,6.0,2.0,Over-Supplied,AP,MEDIUM
