Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Middle School Math,80.0,35.0,96.0,-56.0,312.0,226,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,,61.0,3282.0,2498.0,55.0,54.8,77.0,down,-22.2,135.0,74.0,On Track,Middle School
High School Chemistry,35.0,39.0,42.0,11.0,-26.0,90,False,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,33.0,31.0,34.0,46.0,46.0,46.0,14.0,28.0,743.0,584.0,48.0,47.8,79.6,down,-31.8,23.0,11.0,On Track (Low Util),High School
Elementary School Math,82.0,24.0,98.0,-71.0,406.0,342,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,,57.0,4107.0,3068.0,48.0,48.0,75.9,down,-27.9,171.0,82.0,On Track (Low Util),Elementary
SAT,28.0,36.0,34.0,29.0,-57.0,77,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,15.0,33.0,655.0,549.0,81.0,80.6,84.0,down,-3.3,31.0,25.0,True Supply Problem,Test Prep
Pre-Calculus,36.0,28.0,43.0,-21.0,54.0,127,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,17.0,16.0,1412.0,1141.0,63.0,63.3,81.2,down,-17.9,30.0,19.0,On Track,High School
Elementary School Reading,40.0,25.0,48.0,-38.0,105.0,160,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,40.0,5.0,5.0,28.0,29.0,28.0,,38.0,2969.0,2129.0,38.0,38.1,73.1,down,-35.0,118.0,45.0,On Track (Low Util),Elementary
Algebra 2,99.0,24.0,119.0,-76.0,526.0,415,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,22.0,36.0,48.0,28.0,15.0,1460.0,1163.0,61.0,61.2,80.3,down,-19.1,49.0,30.0,On Track,High School
Algebra,98.0,18.0,118.0,-82.0,561.0,549,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,,30.0,2505.0,1993.0,52.0,52.4,80.5,down,-28.1,84.0,44.0,On Track,High School
AP Biology,52.0,17.0,62.0,-66.0,242.0,298,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,18.0,21.0,24.0,13.0,7.0,604.0,453.0,56.0,56.0,75.8,down,-19.8,25.0,14.0,On Track,AP
College Accounting,17.0,16.0,20.0,-7.0,8.0,107,False,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,9.0,166.0,130.0,38.0,37.5,80.4,down,-42.9,8.0,3.0,On Track (Low Util),College
