Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Geometry,60.0,19.0,72.0,-69.0,289.0,321,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,17.0,29.0,39.0,15.0,15.0,1304.0,1065.0,61.0,60.7,82.1,down,-21.4,28.0,17.0,On Track,High School
AP Calculus AB,5.0,18.0,6.0,257.0,-90.0,28,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,11.0,12.0,11.0,25.0,26.0,25.0,14.0,8.0,634.0,526.0,71.0,70.6,83.3,down,-12.7,17.0,12.0,True Supply Problem,AP
College Chemistry,51.0,14.0,61.0,-72.0,258.0,361,False,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,14.0,18.0,20.0,10.0,10.0,416.0,327.0,44.0,43.8,80.0,down,-36.2,16.0,7.0,On Track (Low Util),College
Middle School Reading,104.0,12.0,125.0,-88.0,642.0,847,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,,14.0,2165.0,1551.0,44.0,43.9,73.1,down,-29.2,107.0,47.0,On Track (Low Util),Middle School
Organic Chemistry,29.0,12.0,35.0,-59.0,119.0,242,False,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,12.0,16.0,18.0,1.0,9.0,298.0,241.0,100.0,100.0,80.7,up,19.3,3.0,3.0,On Track,College
Executive Functioning,86.0,8.0,103.0,-91.0,545.0,1056,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,9.0,5.0,417.0,320.0,37.0,36.8,78.6,down,-41.8,19.0,7.0,On Track (Low Util),Other
High School Biology,77.0,10.0,92.0,-87.0,469.0,770,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,31.0,2.0,944.0,692.0,45.0,45.5,75.0,down,-29.6,55.0,25.0,On Track (Low Util),High School
Statistics,60.0,12.0,72.0,-80.0,335.0,494,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,12.0,17.0,20.0,12.0,9.0,568.0,484.0,76.0,76.5,85.5,down,-9.0,17.0,13.0,On Track,College
High School Physics,21.0,10.0,25.0,-52.0,76.0,207,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,10.0,14.0,18.0,6.0,2.0,715.0,587.0,83.0,83.3,82.1,flat,1.2,6.0,5.0,On Track,High School
College Application Essays,4.0,8.0,5.0,111.0,-31.0,47,True,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,7.0,9.0,7.0,9.0,10.0,9.0,27.0,1.0,660.0,502.0,32.0,31.6,78.8,down,-47.2,38.0,12.0,Possible Placement Issue,College
Elementary School Writing,82.0,8.0,98.0,-90.0,517.0,1007,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,,8.0,2550.0,1829.0,44.0,43.9,73.1,down,-29.2,123.0,54.0,On Track (Low Util),Elementary
AP Chemistry,38.0,7.0,46.0,-81.0,216.0,532,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,7.0,477.0,379.0,58.0,58.3,80.0,down,-21.7,12.0,7.0,On Track,AP
Middle School Science,150.0,6.0,180.0,-96.0,1005.0,2333,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,,10.0,1448.0,1061.0,45.0,44.9,75.3,down,-30.4,98.0,44.0,On Track (Low Util),Middle School
College Biology,40.0,8.0,48.0,-79.0,222.0,483,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,11.0,5.0,527.0,402.0,58.0,57.9,77.0,down,-19.1,19.0,11.0,On Track,College
LSAT,1.0,9.0,1.0,829.0,-58.0,11,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,2.0,22.0,101.0,80.0,100.0,100.0,78.6,up,21.4,3.0,3.0,True Supply Problem,Test Prep
Coding,54.0,6.0,65.0,-88.0,334.0,859,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,,6.0,333.0,253.0,52.0,52.4,77.6,down,-25.2,21.0,11.0,On Track,College
Handwriting,1.0,5.0,1.0,414.0,-29.0,19,True,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,4.0,5.0,7.0,5.0,,6.0,243.0,189.0,33.0,33.3,78.9,down,-45.6,6.0,2.0,Possible Placement Issue,Elementary
Elementary School English,84.0,7.0,101.0,-92.0,542.0,1278,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,,7.0,2842.0,2049.0,40.0,39.5,73.6,down,-34.1,129.0,51.0,On Track (Low Util),Elementary
AP Physics 1,27.0,5.0,32.0,-80.0,152.0,511,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,5.0,1.0,501.0,423.0,86.0,85.7,84.4,flat,1.3,7.0,6.0,On Track,AP
AP Calculus BC,1.0,7.0,1.0,571.0,-40.0,15,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,4.0,5.0,4.0,9.0,10.0,9.0,4.0,3.0,367.0,313.0,50.0,50.0,85.7,down,-35.7,4.0,2.0,True Supply Problem,AP
Spanish 1,7.0,6.0,8.0,-12.0,6.0,114,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,8.0,10.0,8.0,14.0,1.0,625.0,478.0,39.0,39.1,77.9,down,-38.8,23.0,9.0,On Track (Low Util),Language
Spanish 2,4.0,4.0,5.0,11.0,-3.0,90,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,6.0,7.0,6.0,5.0,2.0,595.0,460.0,18.0,18.2,78.4,down,-60.2,11.0,2.0,On Track (Low Util),Language
AP Statistics,14.0,5.0,17.0,-65.0,64.0,288,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,1.0,382.0,324.0,56.0,55.6,85.5,down,-30.0,9.0,5.0,On Track,AP
AP English Language and Composition,110.0,5.0,132.0,-95.0,735.0,2200,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,,4.0,529.0,386.0,51.0,51.1,75.1,down,-24.0,47.0,24.0,On Track,AP
Essay Editing,3.0,5.0,4.0,67.0,-14.0,60,True,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,6.0,7.0,6.0,,4.0,1198.0,889.0,39.0,39.1,76.4,down,-37.2,69.0,27.0,Possible Placement Issue,Other
AP Physics C: Mechanics,2.0,5.0,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,1.0,4.0,146.0,123.0,84.0,,84.2,,,0.0,0.0,True Supply Problem,AP
Calculus 3,1.0,5.0,1.0,386.0,-27.0,21,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,3.0,262.0,224.0,100.0,100.0,85.4,up,14.6,1.0,1.0,True Supply Problem,College
AP Computer Science A,24.0,6.0,29.0,-77.0,129.0,431,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,,4.0,198.0,160.0,33.0,33.3,82.3,down,-49.0,6.0,2.0,On Track (Low Util),AP
IB Mathematics: Analysis and Approaches,1.0,6.0,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,0.0,1.0,136.0,113.0,83.0,,83.1,,,0.0,0.0,True Supply Problem,IB
Adobe Illustrator,8.0,3.0,10.0,-61.0,34.0,255,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,,4.0,99.0,73.0,67.0,66.7,74.2,down,-7.5,6.0,4.0,On Track,Arts & Music
SAT Math,11.0,2.0,13.0,-81.0,62.0,513,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,4.0,725.0,604.0,76.0,75.9,83.6,down,-7.8,29.0,22.0,On Track,Test Prep
Study Skills And Organization,27.0,4.0,32.0,-86.0,162.0,700,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,3.0,2.0,962.0,772.0,43.0,42.9,80.8,down,-37.9,14.0,6.0,On Track (Low Util),Other
Calculus 2,28.0,5.0,34.0,-83.0,163.0,594,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,1.0,505.0,422.0,67.0,66.7,83.8,down,-17.1,6.0,4.0,On Track,College
Trigonometry,77.0,3.0,92.0,-96.0,516.0,2343,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,4.0,850.0,689.0,64.0,64.3,81.6,down,-17.3,28.0,18.0,On Track,High School
Nursing,10.0,3.0,12.0,-70.0,49.0,333,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,138.0,97.0,38.0,38.5,73.6,down,-35.1,13.0,5.0,On Track (Low Util),Professional/Cert
College English,78.0,4.0,94.0,-95.0,519.0,2022,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,4.0,921.0,685.0,46.0,45.9,76.4,down,-30.5,61.0,28.0,On Track (Low Util),College
Finance,7.0,3.0,8.0,-57.0,28.0,233,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,1.0,139.0,106.0,12.0,12.5,80.2,down,-67.7,8.0,1.0,On Track (Low Util),College
Biochemistry,18.0,3.0,22.0,-83.0,105.0,600,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,232.0,175.0,50.0,50.0,75.7,down,-25.7,2.0,1.0,On Track,College
College Economics,11.0,4.0,13.0,-62.0,48.0,266,False,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,4.0,5.0,6.0,2.0,3.0,180.0,146.0,67.0,66.7,81.6,down,-14.9,6.0,4.0,On Track,College
Autocad,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,67.0,50.0,100.0,100.0,73.8,up,26.2,2.0,2.0,On Track,Arts & Music
AP Pre-Calculus,5.0,37.0,6.0,640.0,-224.0,14,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,9.0,19.0,503.0,432.0,71.0,71.4,86.3,down,-14.9,14.0,10.0,True Supply Problem,AP
Managerial Accounting,1.0,4.0,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,0.0,3.0,123.0,103.0,33.0,33.3,85.0,down,-51.7,3.0,1.0,Possible Placement Issue,College
Macroeconomics,7.0,3.0,8.0,-51.0,25.0,204,False,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,114.0,90.0,100.0,100.0,78.8,up,21.2,1.0,1.0,On Track,College
AP Environmental Science,2.0,4.0,2.0,93.0,-13.0,52,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0,120.0,92.0,50.0,50.0,77.1,down,-27.1,2.0,1.0,True Supply Problem,AP
High School World History,12.0,4.0,14.0,-70.0,59.0,336,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,,3.0,307.0,219.0,29.0,28.6,73.4,down,-44.8,14.0,4.0,On Track (Low Util),High School
Management,8.0,3.0,10.0,-61.0,34.0,255,False,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,0.0,1.0,160.0,126.0,0.0,0.0,79.7,down,-79.7,2.0,0.0,On Track (Low Util),College
Middle School English,82.0,2.0,98.0,-98.0,561.0,4415,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,,9.0,2301.0,1689.0,41.0,40.5,75.1,down,-34.6,116.0,47.0,On Track (Low Util),Middle School
ESL/ELL,8.0,3.0,10.0,-66.0,37.0,295,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,14.0,1.0,863.0,634.0,23.0,23.1,75.0,down,-52.0,26.0,6.0,On Track (Low Util),Language
Python,5.0,2.0,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,,3.0,468.0,373.0,62.0,62.5,80.0,down,-17.5,8.0,5.0,On Track,College
Anatomy & Physiology,28.0,2.0,34.0,-94.0,184.0,1633,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,4.0,438.0,317.0,46.0,45.8,73.9,down,-28.1,24.0,11.0,On Track (Low Util),College
Microsoft Excel,4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,6.0,1.0,403.0,308.0,33.0,33.3,77.7,down,-44.4,12.0,4.0,On Track (Low Util),Technology
AP US History,4.0,3.0,5.0,-29.0,8.0,140,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,5.0,1.0,275.0,187.0,33.0,33.3,68.8,down,-35.4,6.0,2.0,On Track (Low Util),AP
Spanish 3,1.0,3.0,1.0,157.0,-11.0,39,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,525.0,410.0,14.0,14.3,79.0,down,-64.7,7.0,1.0,Possible Placement Issue,Language
ASVAB,3.0,3.0,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,0.0,3.0,63.0,50.0,0.0,0.0,80.6,down,-80.6,1.0,0.0,On Track (Low Util),Test Prep
Piano,12.0,2.0,14.0,-86.0,72.0,700,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,165.0,114.0,0.0,0.0,71.2,down,-71.2,5.0,0.0,On Track (Low Util),Arts & Music
AP World History,1.0,2.0,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,254.0,178.0,75.0,75.0,70.0,up,5.0,4.0,3.0,True Supply Problem,AP
Microeconomics,6.0,2.0,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,163.0,125.0,67.0,66.7,76.9,down,-10.2,3.0,2.0,On Track,College
French 2,3.0,3.0,4.0,-14.0,3.0,117,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,189.0,147.0,25.0,25.0,78.9,down,-53.9,4.0,1.0,On Track (Low Util),Language
Linear Algebra,17.0,2.0,20.0,-86.0,102.0,700,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,318.0,268.0,67.0,66.7,84.4,down,-17.8,3.0,2.0,On Track,College
Psychology,36.0,2.0,43.0,-94.0,238.0,1800,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,372.0,273.0,32.0,31.6,75.6,down,-44.1,19.0,6.0,On Track (Low Util),College
English Grammar and Syntax,26.0,3.0,31.0,-90.0,164.0,1011,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,,2.0,1228.0,916.0,33.0,33.3,75.4,down,-42.1,24.0,8.0,On Track (Low Util),High School
Mechanical Engineering,2.0,3.0,2.0,50.0,-7.0,67,True,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0,151.0,128.0,50.0,50.0,85.2,down,-35.2,2.0,1.0,True Supply Problem,College
AP English Literature and Composition,9.0,3.0,11.0,-71.0,45.0,350,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,1.0,207.0,150.0,100.0,100.0,71.9,up,28.1,4.0,4.0,On Track,AP
College and University Admissions,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,306.0,251.0,23.0,23.1,84.6,down,-61.6,13.0,3.0,Possible Placement Issue,College
C++,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,149.0,125.0,0.0,0.0,84.5,down,-84.5,1.0,0.0,Possible Placement Issue,College
Pharmacology,12.0,2.0,14.0,-83.0,70.0,600,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,141.0,108.0,50.0,50.0,78.2,down,-28.2,8.0,4.0,On Track,College
French 3,1.0,3.0,1.0,243.0,-17.0,29,True,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,1.0,1.0,150.0,120.0,33.0,33.3,81.0,down,-47.6,3.0,1.0,Possible Placement Issue,Language
Math 2,9.0,4.0,11.0,-57.0,36.0,233,False,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,4.0,6.0,8.0,,2.0,365.0,309.0,50.0,50.0,84.8,down,-34.8,2.0,1.0,On Track,High School
Multivariable Calculus,1.0,3.0,1.0,171.0,-12.0,37,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,0.0,2.0,150.0,130.0,87.0,,86.7,,,0.0,0.0,True Supply Problem,College
JavaScript,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,156.0,122.0,50.0,50.0,78.6,down,-28.6,2.0,1.0,True Supply Problem,College
Cyber Security,2.0,2.0,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,76.0,49.0,12.0,12.5,70.6,down,-58.1,8.0,1.0,On Track (Low Util),College
BCABA,1.0,2.0,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,Possible Placement Issue,Professional/Cert
Business Analytics,4.0,2.0,5.0,-39.0,11.0,165,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,140.0,116.0,33.0,33.3,83.9,down,-50.6,3.0,1.0,On Track (Low Util),College
PC Basic Computer Skills,1.0,2.0,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,2.0,116.0,96.0,33.0,33.3,84.1,down,-50.7,3.0,1.0,Possible Placement Issue,Technology
Linguistics,1.0,3.0,1.0,157.0,-11.0,39,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,0.0,1.0,165.0,125.0,76.0,,75.8,,,0.0,0.0,True Supply Problem,College
