Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Kindergarten Readiness,14.0,3,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,278.0,208.0,21.0,21.4,77.7,down,-56.2,14.0,3.0,24.0,,Elementary,LOW,60,On Track,['new_tutor_stuck'],On Track
Microsoft Excel,13.0,3,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,405.0,311.0,33.0,33.3,78.1,down,-44.8,12.0,4.0,24.0,,Technology,LOW,60,On Track,[],On Track
HSPT,6.0,4,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,182.0,147.0,75.0,75.0,81.6,down,-6.6,24.0,18.0,8.459998,,Test Prep,LOW,60,On Track,[],On Track
AP US History,10.0,3,12.0,-71.0,50.0,350,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,280.0,191.0,43.0,42.9,68.9,down,-26.0,7.0,3.0,17.521666,,AP,LOW,60,On Track,[],On Track
Chess,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,95.0,80.0,0.0,0.0,85.1,down,-85.1,1.0,0.0,47.02666,,Other,LOW,60,On Track,['new_tutor_stuck'],On Track
Spanish 3,13.0,3,16.0,-80.0,73.0,506,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,537.0,419.0,14.0,14.3,78.9,down,-64.6,7.0,1.0,15.451663,,Language,LOW,60,On Track,['new_tutor_stuck'],On Track
High School Reading,39.0,3,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,953.0,719.0,36.0,36.1,77.0,down,-40.9,36.0,13.0,16.43666,,High School,LOW,60,On Track,[],On Track
ASVAB,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,64.0,51.0,0.0,0.0,81.0,down,-81.0,1.0,0.0,20.02166,,Test Prep,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Piano,6.0,2,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,167.0,117.0,0.0,0.0,71.8,down,-71.8,4.0,0.0,46.7,,Arts & Music,LOW,60,On Track,['new_tutor_stuck'],On Track
AP World History,8.0,2,10.0,-70.0,39.0,329,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,,,,,,3.0,2.0,258.0,185.0,100.0,100.0,71.1,up,28.9,5.0,5.0,28.506662,,AP,LOW,60,On Track,[],On Track
Microeconomics,4.0,2,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,2.0,162.0,125.0,67.0,66.7,77.4,down,-10.7,3.0,2.0,47.41666,,College,LOW,60,On Track,[],On Track
French 2,5.0,3,6.0,-49.0,17.0,194,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,1.0,1.0,188.0,147.0,33.0,33.3,78.9,down,-45.6,3.0,1.0,5.94333,,Language,LOW,60,On Track,[],On Track
Linear Algebra,7.0,2,8.0,-65.0,32.0,288,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,317.0,266.0,67.0,66.7,84.1,down,-17.4,3.0,2.0,52.32333,,College,LOW,60,On Track,[],On Track
Psychology,19.0,2,23.0,-89.0,119.0,950,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,377.0,271.0,25.0,25.0,74.5,down,-49.5,20.0,5.0,0.886662,,College,LOW,60,On Track,['new_tutor_stuck'],On Track
English Grammar and Syntax,62.0,3,74.0,-96.0,416.0,2411,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,,,,,,,,2.0,1246.0,923.0,33.0,33.3,74.9,down,-41.5,24.0,8.0,13.75,,High School,LOW,60,On Track,[],On Track
Competition Math,3.0,3,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,2.0,162.0,137.0,0.0,0.0,85.6,down,-85.6,2.0,0.0,91.70333,,High School,LOW,60,Investigate — Wait Times,"['new_tutor_stuck', 'high_wait']",On Track — High Wait
Mechanical Engineering,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,,,,,,1.0,5.0,152.0,126.0,33.0,33.3,83.9,down,-50.6,3.0,1.0,72.806663,,College,LOW,60,Investigate — Wait Times,[],On Track — High Wait
AP English Literature and Composition,14.0,3,17.0,-82.0,80.0,544,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,206.0,149.0,100.0,100.0,71.8,up,28.2,4.0,4.0,15.99333,,AP,LOW,60,On Track,[],On Track
Physics 2,3.0,3,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,1.0,1.0,160.0,130.0,100.0,100.0,81.1,up,18.9,1.0,1.0,23.071666,,College,LOW,60,On Track,[],On Track
College and University Admissions,19.0,2,23.0,-89.0,119.0,950,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,307.0,247.0,23.0,23.1,83.0,down,-59.9,13.0,3.0,143.53333,,College,LOW,60,Investigate — Wait Times,"['new_tutor_stuck', 'critical_wait']",On Track — High Wait
AP Microeconomics,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,,,,,,,,2.0,109.0,86.0,50.0,50.0,80.0,down,-30.0,4.0,2.0,30.789996,,AP,LOW,60,On Track,[],On Track
C++,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,151.0,127.0,0.0,0.0,84.7,down,-84.7,1.0,0.0,24.0,,College,LOW,60,On Track,['new_tutor_stuck'],On Track
Pharmacology,8.0,2,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,144.0,110.0,38.0,37.5,78.7,down,-41.2,8.0,3.0,24.0,,College,LOW,60,On Track,[],On Track
French 3,4.0,3,5.0,-14.0,4.0,117,False,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,,,,,,,,1.0,1.0,147.0,119.0,50.0,50.0,81.4,down,-31.4,2.0,1.0,0.094999,,Language,LOW,60,On Track,[],On Track
Math 2,3.0,4,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,,,,,,,,2.0,370.0,308.0,50.0,50.0,83.4,down,-33.4,2.0,1.0,63.249995,,High School,LOW,60,Recruit More,[],True Supply Problem
Multivariable Calculus,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,0.0,2.0,148.0,127.0,0.0,0.0,85.8,down,-85.8,0.0,0.0,26.405,,College,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
JavaScript,4.0,2,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,159.0,125.0,50.0,50.0,79.0,down,-29.0,2.0,1.0,23.411663,,College,LOW,60,On Track,[],On Track
AP Computer Science Principles,4.0,2,5.0,-43.0,12.0,175,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,2.0,3.0,189.0,159.0,50.0,50.0,84.5,down,-34.5,2.0,1.0,27.96666,,AP,LOW,60,On Track,[],On Track
Corporate Finance,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,72.0,58.0,0.0,0.0,82.9,down,-82.9,2.0,0.0,40.783328,,College,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Vietnamese,1.0,4,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,,,,,,,,0.0,1.0,16.0,15.0,0.0,0.0,93.8,down,-93.8,0.0,0.0,1.17666,,Language,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Cyber Security,7.0,2,8.0,-71.0,35.0,350,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,78.0,51.0,12.0,12.5,71.4,down,-58.9,8.0,1.0,29.96666,,College,LOW,60,On Track,['new_tutor_stuck'],On Track
BCABA,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,19.895,,Professional/Cert,LOW,60,On Track,['new_tutor_stuck'],On Track
IB Biology,3.0,2,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,138.0,110.0,50.0,50.0,80.1,down,-30.1,2.0,1.0,20.278331,,IB,LOW,60,On Track,[],On Track
Electrical and Computer Engineering,1.0,2,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,1.0,1.0,71.0,60.0,100.0,100.0,84.3,up,15.7,1.0,1.0,95.853328,,College,LOW,60,Recruit More,['high_wait'],True Supply Problem
Statics and Dynamics,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,76.0,63.0,0.0,0.0,82.9,down,-82.9,0.0,0.0,38.559994,,College,LOW,60,On Track,['new_tutor_stuck'],On Track
Applied Mathematics,5.0,2,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,2.0,288.0,241.0,0.0,0.0,84.3,down,-84.3,2.0,0.0,20.11666,,College,LOW,60,On Track,['new_tutor_stuck'],On Track
Robotics,1.0,2,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,0.0,1.0,53.0,45.0,0.0,0.0,84.9,down,-84.9,0.0,0.0,136.66666,,Technology,LOW,60,Recruit More,"['new_tutor_stuck', 'critical_wait']",True Supply Problem
Fine arts,6.0,2,7.0,-67.0,28.0,300,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,107.0,79.0,100.0,100.0,73.6,up,26.4,1.0,1.0,29.26666,,Arts & Music,LOW,60,On Track,[],On Track
Business Analytics,3.0,2,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,140.0,114.0,33.0,33.3,82.5,down,-49.1,3.0,1.0,36.13333,,College,LOW,60,On Track,[],On Track
PTCE,1.0,2,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,16.54333,,Professional/Cert,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Filmmaking,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,44.0,31.0,20.0,20.0,76.9,down,-56.9,5.0,1.0,4.75,,Arts & Music,LOW,60,On Track,['new_tutor_stuck'],On Track
Mac Basic Computer Skills,5.0,2,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,89.0,74.0,20.0,20.0,86.9,down,-66.9,5.0,1.0,20.58166,,Technology,LOW,60,On Track,['new_tutor_stuck'],On Track
Cost Accounting,2.0,3,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,69.0,55.0,0.0,0.0,80.9,down,-80.9,1.0,0.0,5.671666,,College,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
PC Basic Computer Skills,5.0,2,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,123.0,102.0,33.0,33.3,84.2,down,-50.8,3.0,1.0,4.55,,Technology,LOW,60,On Track,[],On Track
Technical Writing,24.0,2,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,296.0,236.0,44.0,44.4,80.8,down,-36.4,9.0,4.0,24.0,,College,LOW,60,On Track,[],On Track
Music Recording,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,46.0,30.0,0.0,0.0,65.2,down,-65.2,0.0,0.0,83.48333,,Arts & Music,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Probability,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,297.0,253.0,0.0,0.0,85.8,down,-85.8,2.0,0.0,25.661663,,College,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Linguistics,2.0,3,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,163.0,122.0,0.0,0.0,74.8,down,-74.8,0.0,0.0,,,College,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Structural Engineering,1.0,2,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,22.0,18.0,0.0,0.0,85.7,down,-85.7,1.0,0.0,2.364997,,College,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Rhino,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,21.0,17.0,67.0,66.7,83.3,down,-16.7,3.0,2.0,1.85,,Technology,LOW,60,Recruit More,[],True Supply Problem
College Level American History,2.0,3,2.0,43.0,-6.0,70,True,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,1.0,89.0,69.0,0.0,0.0,77.5,down,-77.5,0.0,0.0,21.658333,,College,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Clinical Psychology,3.0,2,4.0,-24.0,5.0,131,False,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,1.0,78.0,59.0,0.0,0.0,75.6,down,-75.6,0.0,0.0,113.76666,,College,LOW,60,Investigate — Wait Times,"['new_tutor_stuck', 'high_wait']",On Track — High Wait
Conversational Spanish,18.0,10,22.0,-45.0,57.0,183,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,5.0,2.0,5.0,9.0,13.0,14.0,23.0,,,,,,,16.0,5.0,529.0,392.0,32.0,32.0,76.2,down,-44.2,25.0,8.0,24.0,,Language,MEDIUM,48,On Track,[],On Track
NCLEX,7.0,1,8.0,-98.0,48.0,4900,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,86.0,59.0,80.0,80.0,67.9,up,12.1,5.0,4.0,23.51666,,Professional/Cert,NICHE,72,On Track,[],On Track
Japanese,1.0,3,1.0,171.0,-12.0,37,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,,,,,,,,1.0,2.0,68.0,47.0,0.0,0.0,71.2,down,-71.2,2.0,0.0,5.776664,,Language,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
Orton Gillingham,4.0,1,5.0,-96.0,27.0,2800,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,154.0,118.0,40.0,40.0,77.9,down,-37.9,5.0,2.0,24.629996,,Other,NICHE,72,On Track,[],On Track
Middle School Writing,99.0,1,119.0,-100.0,690.0,23100,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,3.0,1872.0,1324.0,41.0,41.4,72.9,down,-31.5,128.0,53.0,25.56666,,Middle School,NICHE,72,On Track,[],On Track
College Physics,9.0,3,11.0,-70.0,44.0,332,False,19.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,1.0,0.0,0.0,2.0,4.0,5.0,7.0,,,,,,,5.0,1.0,451.0,371.0,80.0,80.0,82.3,flat,-2.3,5.0,4.0,36.98333,,College,LOW,60,On Track,[],On Track
College Algebra,6.0,2,7.0,-64.0,27.0,280,False,15.0,True,['Apr'],15.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,4.0,6.0,4.0,1.0,,,,,,,3.0,5.0,621.0,528.0,50.0,50.0,85.4,down,-35.4,6.0,3.0,39.546666,,College,LOW,60,On Track,[],On Track
PSAT,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,614.0,527.0,82.0,82.1,86.0,down,-3.9,28.0,23.0,23.693333,,Test Prep,NICHE,72,On Track,[],On Track
Financial Accounting,8.0,2,10.0,-71.0,40.0,350,False,16.0,True,['Apr'],13.0,1.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,0.0,0.0,2.0,4.0,5.0,4.0,,,,,,,4.0,4.0,202.0,160.0,33.0,33.3,81.3,down,-48.0,9.0,3.0,24.0,,College,LOW,60,On Track,[],On Track
Mandarin Chinese 1,3.0,1,4.0,-67.0,14.0,300,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,96.0,68.0,67.0,66.7,71.0,down,-4.3,3.0,2.0,13.399996,,Language,NICHE,72,On Track,[],On Track
Drawing,16.0,1,19.0,-94.0,105.0,1600,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,216.0,143.0,29.0,29.4,69.3,down,-39.9,17.0,5.0,15.6,,Arts & Music,NICHE,72,On Track,['new_tutor_stuck'],On Track
SAT Writing and Language,9.0,1,11.0,-89.0,56.0,900,False,7.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,10.0,2.0,480.0,407.0,85.0,85.0,84.8,flat,0.2,20.0,17.0,26.069997,,Test Prep,NICHE,72,On Track,[],On Track
French 1,10.0,1,12.0,-90.0,63.0,1000,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,179.0,127.0,12.0,12.5,73.7,down,-61.2,8.0,1.0,24.441661,,Language,NICHE,72,On Track,['new_tutor_stuck'],On Track
ARRT - Radiography,1.0,1,1.0,0.0,0.0,100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,15.0,11.0,0.0,0.0,78.6,down,-78.6,1.0,0.0,64.886666,,Professional/Cert,NICHE,72,On Track,['new_tutor_stuck'],On Track
NCLEX-RN,5.0,1,6.0,-80.0,28.0,500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,4.0,1.0,77.0,51.0,60.0,60.0,66.7,down,-6.7,5.0,3.0,26.16666,,Professional/Cert,NICHE,72,On Track,[],On Track
Conversational German,2.0,3,2.0,50.0,-7.0,67,True,21.0,False,,21.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,6.0,4.0,,,,,,,,0.0,2.0,52.0,37.0,0.0,0.0,71.2,down,-71.2,0.0,0.0,5.93333,,Language,LOW,60,Recruit More,['new_tutor_stuck'],True Supply Problem
NPTE,2.0,1,2.0,-50.0,7.0,200,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,1.0,15.0,12.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,22.6,,Professional/Cert,NICHE,72,On Track,[],On Track
Java,10.0,1,12.0,-89.0,62.0,875,False,8.0,True,['Apr'],8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,283.0,236.0,50.0,50.0,84.6,down,-34.6,10.0,5.0,12.896664,,College,NICHE,72,On Track,[],On Track
Basic Computer Literacy,18.0,3,22.0,-83.0,104.0,573,False,22.0,True,['Apr'],13.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,0.0,0.0,0.0,1.0,5.0,6.0,10.0,,,,,,,,3.0,317.0,243.0,9.0,9.1,79.1,down,-70.0,11.0,1.0,24.324999,,Technology,LOW,60,On Track,['new_tutor_stuck'],On Track
Organic Chemistry 2,3.0,1,4.0,-62.0,13.0,262,False,8.0,True,['Apr'],7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,0.0,1.0,186.0,155.0,0.0,0.0,83.3,down,-83.3,0.0,0.0,25.976662,,College,NICHE,72,On Track,['new_tutor_stuck'],On Track
Computer Programming,15.0,1,18.0,-93.0,98.0,1500,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,423.0,328.0,36.0,36.4,79.8,down,-43.4,22.0,8.0,25.736666,,College,NICHE,72,On Track,[],On Track
Creative Writing,81.0,1,97.0,-99.0,560.0,8100,False,7.0,False,,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,991.0,708.0,37.0,37.0,73.1,down,-36.2,46.0,17.0,26.63333,,College,NICHE,72,On Track,[],On Track
