Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Problem_Type,Category,Tier
Geometry,29.0,19,35.0,-35.0,72.0,155,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,23.0,,,,,,,15.0,15.0,1316.0,1073.0,66.0,65.5,81.9,down,-16.4,29.0,19.0,28.216664,On Track,High School,HIGH
AP Calculus AB,13.0,18,16.0,37.0,-34.0,73,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,13.0,10.0,12.0,25.0,26.0,25.0,15.0,,,,,,,14.0,8.0,634.0,527.0,71.0,70.6,83.5,down,-12.9,17.0,12.0,40.48333,True Supply Problem,AP,HIGH
College Chemistry,11.0,14,13.0,29.0,-22.0,78,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,14.0,,,,,,,10.0,10.0,435.0,345.0,50.0,50.0,80.6,down,-30.6,18.0,9.0,26.691661,True Supply Problem,College,HIGH
Middle School Reading,92.0,12,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,,,,,,,,14.0,2182.0,1562.0,47.0,47.2,72.9,down,-25.6,108.0,51.0,27.4,Under-Used,Middle School,HIGH
Organic Chemistry,9.0,12,11.0,33.0,-21.0,75,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,11.0,,,,,,,1.0,9.0,304.0,248.0,100.0,100.0,81.4,up,18.6,3.0,3.0,25.179994,True Supply Problem,College,HIGH
Executive Functioning,15.0,8,18.0,-46.0,48.0,184,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,,,,,,,9.0,5.0,429.0,331.0,45.0,45.0,78.7,down,-33.7,20.0,9.0,37.301661,Under-Used,Other,MEDIUM
High School Biology,36.0,10,43.0,-72.0,182.0,360,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,,,,,,,31.0,2.0,969.0,714.0,51.0,50.9,75.1,down,-24.2,57.0,29.0,24.879997,On Track,High School,MEDIUM
Statistics,12.0,12,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,11.0,,,,,,,12.0,9.0,584.0,495.0,78.0,77.8,85.0,down,-7.2,18.0,14.0,23.133332,On Track,College,HIGH
High School Physics,12.0,10,14.0,-15.0,13.0,118,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,14.0,14.0,14.0,9.0,,,,,,,6.0,2.0,730.0,601.0,83.0,83.3,82.3,flat,1.0,6.0,5.0,29.319994,On Track,High School,MEDIUM
College Application Essays,35.0,8,42.0,-76.0,186.0,415,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,,,,,,,,27.0,1.0,667.0,505.0,38.0,37.5,78.1,down,-40.6,40.0,15.0,33.88333,Under-Used,College,MEDIUM
Elementary School Writing,107.0,8,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,,,,,,,,8.0,2577.0,1837.0,45.0,44.8,72.6,down,-27.8,125.0,56.0,40.57,Under-Used,Elementary,MEDIUM
AP Chemistry,12.0,7,14.0,-40.0,34.0,168,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,,,,,,,8.0,7.0,486.0,390.0,69.0,69.2,80.5,down,-11.3,13.0,9.0,42.3,On Track,AP,MEDIUM
Middle School Science,60.0,6,72.0,-89.0,375.0,933,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,,,,,,,,10.0,1484.0,1089.0,48.0,48.0,75.3,down,-27.2,102.0,49.0,41.56666,Under-Used,Middle School,MEDIUM
College Biology,19.0,8,23.0,-56.0,75.0,229,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,,,,,,,11.0,5.0,543.0,417.0,63.0,63.2,77.3,down,-14.1,19.0,12.0,25.7,On Track,College,MEDIUM
LSAT,4.0,9,5.0,132.0,-37.0,43,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,,,,,,,2.0,22.0,100.0,78.0,100.0,100.0,77.3,up,22.7,3.0,3.0,24.0,True Supply Problem,Test Prep,MEDIUM
Coding,15.0,6,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,,,,,,,,6.0,339.0,257.0,55.0,54.5,77.3,down,-22.7,22.0,12.0,39.53666,On Track,College,MEDIUM
Handwriting,16.0,5,19.0,-68.0,76.0,311,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,,,,,,,,6.0,243.0,186.0,29.0,28.6,78.0,down,-49.4,7.0,2.0,16.18833,Over-Supplied,Elementary,MEDIUM
Elementary School English,92.0,7,110.0,-93.0,598.0,1400,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,,,,,,,,7.0,2884.0,2067.0,41.0,40.7,73.2,down,-32.4,135.0,55.0,24.066664,Under-Used,Elementary,MEDIUM
AP Physics 1,10.0,5,12.0,-47.0,33.0,189,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,,,,,,,5.0,1.0,508.0,429.0,86.0,85.7,84.4,flat,1.3,7.0,6.0,26.85666,On Track,AP,MEDIUM
AP Calculus BC,5.0,7,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,9.0,10.0,9.0,6.0,,,,,,,4.0,3.0,367.0,314.0,50.0,50.0,86.0,down,-36.0,4.0,2.0,40.74333,True Supply Problem,AP,MEDIUM
AP Human Geography,3.0,5,4.0,81.0,-17.0,55,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,,,,,,2.0,2.0,104.0,77.0,33.0,33.3,75.2,down,-41.9,3.0,1.0,26.15,Under-Used,AP,MEDIUM
Spanish 1,19.0,6,23.0,-68.0,90.0,309,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,,,,,,,14.0,1.0,632.0,486.0,50.0,50.0,77.9,down,-27.9,22.0,11.0,23.593332,On Track,Language,MEDIUM
Spanish 2,14.0,4,17.0,-68.0,67.0,316,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,5.0,2.0,604.0,467.0,18.0,18.2,78.4,down,-60.2,11.0,2.0,7.239996,Over-Supplied,Language,MEDIUM
AP Statistics,7.0,5,8.0,-31.0,15.0,144,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,,,,,,,7.0,1.0,382.0,323.0,56.0,55.6,85.3,down,-29.7,9.0,5.0,41.49166,On Track,AP,MEDIUM
AP English Language and Composition,30.0,5,36.0,-83.0,175.0,600,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,,,,,,,,4.0,553.0,398.0,49.0,49.0,74.3,down,-25.3,51.0,25.0,22.55,Over-Supplied,AP,MEDIUM
Essay Editing,57.0,5,68.0,-91.0,364.0,1140,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,,,,,,,,4.0,1208.0,895.0,41.0,40.6,76.1,down,-35.5,69.0,28.0,22.38,Over-Supplied,Other,MEDIUM
AP Physics C: Mechanics,2.0,5,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,4.0,,,,,,,1.0,4.0,147.0,123.0,84.0,,83.7,,,0.0,0.0,65.716665,True Supply Problem,AP,MEDIUM
Calculus 3,3.0,5,4.0,62.0,-13.0,62,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,,,,,,,1.0,3.0,261.0,223.0,100.0,100.0,85.4,up,14.6,1.0,1.0,23.269998,True Supply Problem,College,MEDIUM
AP Computer Science A,7.0,6,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,4.0,,,,,,,,4.0,202.0,163.0,33.0,33.3,82.1,down,-48.8,6.0,2.0,35.486664,Under-Used,AP,MEDIUM
IB Mathematics: Analysis and Approaches,1.0,6,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,4.0,,,,,,,0.0,1.0,137.0,114.0,83.0,,83.2,,,0.0,0.0,38.449995,True Supply Problem,IB,MEDIUM
Adobe Illustrator,10.0,3,12.0,-69.0,48.0,318,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,4.0,97.0,73.0,83.0,83.3,74.7,up,8.6,6.0,5.0,2.136662,On Track,Arts & Music,LOW
SAT Math,14.0,2,17.0,-85.0,83.0,653,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,15.0,4.0,734.0,615.0,76.0,75.9,84.1,down,-8.3,29.0,22.0,28.771662,On Track,Test Prep,LOW
Study Skills And Organization,17.0,4,20.0,-77.0,92.0,441,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,3.0,2.0,967.0,776.0,50.0,50.0,80.7,down,-30.7,14.0,7.0,40.401666,On Track,Other,LOW
Calculus 2,11.0,5,13.0,-57.0,44.0,233,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,,,,,,,5.0,1.0,508.0,424.0,57.0,57.1,83.8,down,-26.7,7.0,4.0,24.0,On Track,College,MEDIUM
Public Speaking,26.0,3,31.0,-89.0,162.0,910,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,,,,,,,,8.0,709.0,545.0,47.0,47.1,77.6,down,-30.5,17.0,8.0,24.014994,Under-Used,College,LOW
Trigonometry,24.0,3,29.0,-86.0,145.0,730,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,,,,,,,,4.0,866.0,700.0,68.0,67.9,81.3,down,-13.4,28.0,19.0,26.531663,On Track,High School,LOW
Nursing,12.0,3,14.0,-75.0,63.0,400,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,4.0,141.0,99.0,38.0,38.5,73.4,down,-35.0,13.0,5.0,24.013328,Under-Used,Professional/Cert,LOW
College English,33.0,4,40.0,-88.0,204.0,856,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,,,,,,,,4.0,935.0,689.0,45.0,45.2,75.7,down,-30.6,62.0,28.0,18.095,Over-Supplied,College,LOW
Finance,6.0,3,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,,,,,,,6.0,1.0,138.0,105.0,12.0,12.5,80.0,down,-67.5,8.0,1.0,41.716665,Under-Used,College,LOW
Biochemistry,8.0,3,10.0,-62.0,35.0,267,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,4.0,240.0,183.0,50.0,50.0,76.5,down,-26.5,2.0,1.0,30.564998,On Track,College,LOW
College Economics,5.0,4,6.0,-17.0,6.0,121,False,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,,,,,,,2.0,3.0,176.0,143.0,67.0,66.7,81.8,down,-15.1,6.0,4.0,51.94333,On Track,College,LOW
Autocad,2.0,2,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,2.0,1.0,68.0,51.0,100.0,100.0,74.2,up,25.8,2.0,2.0,67.77666,On Track,Technology,LOW
AP Pre-Calculus,8.0,37,10.0,362.0,-203.0,22,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,25.0,,,,,,,9.0,19.0,504.0,434.0,71.0,71.4,86.5,down,-15.1,14.0,10.0,37.614998,True Supply Problem,AP,CORE
Managerial Accounting,5.0,4,6.0,-23.0,8.0,130,False,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,,,,,,,0.0,3.0,121.0,99.0,25.0,25.0,83.8,down,-58.8,4.0,1.0,21.98333,Over-Supplied,College,LOW
Macroeconomics,5.0,3,6.0,-31.0,11.0,146,False,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,,,,,,,1.0,2.0,116.0,90.0,100.0,100.0,77.4,up,22.6,1.0,1.0,24.0,On Track,College,LOW
AP Environmental Science,4.0,4,5.0,-4.0,1.0,104,False,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,,,,,,,0.0,4.0,119.0,92.0,50.0,50.0,77.8,down,-27.8,2.0,1.0,59.01666,On Track,AP,LOW
High School World History,13.0,4,16.0,-73.0,66.0,364,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,,,,,,,,3.0,309.0,225.0,36.0,35.7,74.6,down,-38.9,14.0,5.0,16.4,Over-Supplied,High School,LOW
AP Macroeconomics,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,98.0,82.0,84.0,,83.7,,,0.0,0.0,26.68166,True Supply Problem,AP,LOW
IB Mathematics: Applications and Interpretation,1.0,3,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,119.0,100.0,84.0,,84.0,,,0.0,0.0,69.034999,True Supply Problem,IB,LOW
IB Chemistry,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,,,,,,,0.0,1.0,112.0,89.0,0.0,0.0,80.2,down,-80.2,1.0,0.0,45.13333,Under-Used,IB,LOW
Digital Media,13.0,3,16.0,-74.0,67.0,379,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,3.0,93.0,72.0,60.0,60.0,78.4,down,-18.4,5.0,3.0,129.499995,On Track,Arts & Music,LOW
Artificial Intelligence (AI),4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,85.0,74.0,50.0,50.0,88.0,down,-38.0,2.0,1.0,77.773327,On Track,College,LOW
Management,2.0,3,2.0,57.0,-8.0,64,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,,,,,,,,0.0,1.0,162.0,125.0,33.0,33.3,78.0,down,-44.7,3.0,1.0,2.51666,Under-Used,College,LOW
Viral Content Creation,1.0,4,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,21.0,18.0,86.0,,85.7,,,0.0,0.0,,True Supply Problem,Other,LOW
Social Networking,1.0,4,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,0.0,1.0,64.0,51.0,80.0,,79.7,,,0.0,0.0,43.28333,True Supply Problem,Technology,LOW
Middle School English,82.0,2,98.0,-98.0,561.0,4415,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,9.0,2328.0,1698.0,43.0,43.0,74.6,down,-31.6,121.0,52.0,25.8,Under-Used,Middle School,LOW
MCAT,5.0,3,6.0,-49.0,17.0,194,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,2.0,3.0,134.0,110.0,80.0,80.0,82.2,flat,-2.2,5.0,4.0,24.0,On Track,Test Prep,LOW
ESL/ELL,24.0,3,29.0,-89.0,149.0,884,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,874.0,638.0,22.0,22.2,74.6,down,-52.4,27.0,6.0,17.6,Over-Supplied,Language,LOW
Python,12.0,2,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,473.0,378.0,62.0,62.5,80.2,down,-17.7,8.0,5.0,19.58333,On Track,College,LOW
Anatomy & Physiology,21.0,2,25.0,-92.0,135.0,1225,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,450.0,324.0,41.0,40.7,74.0,down,-33.3,27.0,11.0,23.65,Over-Supplied,College,LOW
Kindergarten Readiness,14.0,3,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,278.0,208.0,21.0,21.4,77.7,down,-56.2,14.0,3.0,24.0,Under-Used,Elementary,LOW
Microsoft Excel,13.0,3,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,405.0,311.0,33.0,33.3,78.1,down,-44.8,12.0,4.0,24.0,Under-Used,Technology,LOW
HSPT,6.0,4,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,182.0,147.0,75.0,75.0,81.6,down,-6.6,24.0,18.0,8.459998,On Track,Test Prep,LOW
AP US History,10.0,3,12.0,-71.0,50.0,350,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,280.0,191.0,43.0,42.9,68.9,down,-26.0,7.0,3.0,17.521666,Over-Supplied,AP,LOW
Chess,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,95.0,80.0,0.0,0.0,85.1,down,-85.1,1.0,0.0,47.02666,Under-Used,Other,LOW
Spanish 3,13.0,3,16.0,-80.0,73.0,506,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,537.0,419.0,14.0,14.3,78.9,down,-64.6,7.0,1.0,15.451663,Over-Supplied,Language,LOW
