Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
College Chemistry,11.0,14,13.0,29.0,-22.0,78,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,14.0,,,,,,,10.0,10.0,440.0,347.0,47.0,47.4,80.3,down,-32.9,19.0,9.0,4.0,74.0,36.0,26.683328,44.48198583338597,College,HIGH,36,Investigate — Capacity Available,['idle_pool'],Under-Used
Middle School Reading,92.0,12,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,,,,,,,,14.0,2190.0,1563.0,46.0,45.9,72.7,down,-26.8,111.0,51.0,15.0,110.0,21.0,27.4,44.19925323739402,Middle School,HIGH,36,On Track,['idle_pool'],On Track
Organic Chemistry,9.0,12,11.0,33.0,-21.0,75,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,11.0,,,,,,,1.0,9.0,306.0,248.0,75.0,75.0,81.1,down,-6.1,4.0,3.0,3.0,36.0,21.0,24.893328,44.73849203725262,College,HIGH,36,Investigate — Capacity Available,['idle_pool'],Under-Used
Executive Functioning,15.0,8,18.0,-46.0,48.0,184,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,,,,,,,9.0,5.0,431.0,330.0,45.0,45.0,78.1,down,-33.1,20.0,9.0,3.0,9.0,4.0,32.13333,52.037500896508334,Other,MEDIUM,48,On Track,[],On Track
High School Biology,36.0,10,43.0,-72.0,182.0,360,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,,,,,,,31.0,2.0,973.0,714.0,49.0,49.2,74.9,down,-25.8,59.0,29.0,12.0,151.0,49.0,24.78333,42.12789462087102,High School,MEDIUM,48,On Track,['idle_pool'],On Track
Statistics,12.0,12,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,11.0,,,,,,,12.0,9.0,585.0,495.0,78.0,77.8,84.8,down,-7.1,18.0,14.0,2.0,219.0,52.0,23.133332,45.32294124377898,College,HIGH,36,On Track,['idle_pool'],On Track
High School Physics,12.0,10,14.0,-15.0,13.0,118,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,14.0,14.0,14.0,9.0,,,,,,,6.0,2.0,733.0,604.0,83.0,83.3,82.4,flat,0.9,6.0,5.0,0.0,17.0,2.0,28.91666,43.07882936922458,High School,MEDIUM,48,On Track,['idle_pool'],On Track
College Application Essays,35.0,8,42.0,-76.0,186.0,415,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,,,,,,,,27.0,1.0,670.0,507.0,37.0,36.6,78.2,down,-41.6,41.0,15.0,3.0,111.0,16.0,33.88333,44.19097807431027,College,MEDIUM,48,On Track,['idle_pool'],On Track
Elementary School Writing,107.0,8,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,,,,,,,,8.0,2585.0,1843.0,45.0,44.8,72.6,down,-27.8,125.0,56.0,15.0,193.0,30.0,40.49,43.58028589323414,Elementary,MEDIUM,48,On Track,['idle_pool'],On Track
AP Chemistry,12.0,7,14.0,-40.0,34.0,168,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,,,,,,,8.0,7.0,490.0,392.0,64.0,64.3,80.5,down,-16.2,14.0,9.0,3.0,42.0,25.0,42.3,43.52915369310793,AP,MEDIUM,48,On Track,['idle_pool'],On Track
