Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Trigonometry,24.0,3,29.0,-86.0,145.0,730,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,,,,,,,,4.0,868.0,700.0,66.0,65.5,81.2,down,-15.7,29.0,19.0,3.0,37.0,6.0,26.531663,44.42772139206795,High School,LOW,60,On Track,['idle_pool'],On Track
Nursing,12.0,3,14.0,-75.0,63.0,400,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,4.0,142.0,99.0,38.0,38.5,72.9,down,-34.4,13.0,5.0,1.0,0.0,0.0,24.013328,45.728281343047186,Professional/Cert,LOW,60,On Track,['idle_pool'],On Track
College English,33.0,4,40.0,-88.0,204.0,856,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,,,,,,,,4.0,940.0,689.0,45.0,45.2,75.3,down,-30.1,62.0,28.0,10.0,146.0,16.0,18.095,44.96261903453503,College,LOW,60,On Track,['idle_pool'],On Track
Finance,6.0,3,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,,,,,,,6.0,1.0,139.0,105.0,12.0,12.5,79.4,down,-66.9,8.0,1.0,,,,41.716665,49.11484529989919,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Biochemistry,8.0,3,10.0,-62.0,35.0,267,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,4.0,241.0,183.0,50.0,50.0,76.2,down,-26.2,2.0,1.0,1.0,44.0,23.0,30.564998,44.04969341159053,College,LOW,60,On Track,['idle_pool'],On Track
College Economics,5.0,4,6.0,-17.0,6.0,121,False,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,,,,,,,2.0,3.0,178.0,144.0,67.0,66.7,81.4,down,-14.7,6.0,4.0,,,,51.94333,48.57928258158387,College,LOW,60,On Track,['idle_pool'],On Track
Autocad,2.0,2,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,2.0,1.0,69.0,51.0,100.0,100.0,73.1,up,26.9,2.0,2.0,0.0,0.0,0.0,67.77666,32.97200825641025,Technology,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP Pre-Calculus,8.0,37,10.0,362.0,-203.0,22,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,25.0,,,,,,,9.0,19.0,506.0,435.0,67.0,66.7,86.6,down,-19.9,15.0,10.0,3.0,131.0,28.0,37.543332,46.88864867289035,AP,CORE,24,Recruit More,"['idle_pool', 'high_wait', 'paper_supply']",True Supply Problem
Managerial Accounting,5.0,4,6.0,-23.0,8.0,130,False,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,,,,,,,0.0,3.0,122.0,99.0,25.0,25.0,83.1,down,-58.1,4.0,1.0,,,,21.98333,49.68410164719402,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Macroeconomics,5.0,3,6.0,-31.0,11.0,146,False,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,,,,,,,1.0,2.0,117.0,91.0,100.0,100.0,77.6,up,22.4,1.0,1.0,0.0,1.0,1.0,24.0,48.470731915138934,College,LOW,60,On Track,['idle_pool'],On Track
AP Environmental Science,4.0,4,5.0,-4.0,1.0,104,False,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,,,,,,,0.0,4.0,120.0,93.0,50.0,50.0,78.0,down,-28.0,2.0,1.0,1.0,4.0,1.0,59.01666,44.92466322605966,AP,LOW,60,On Track,['idle_pool'],On Track
High School World History,13.0,4,16.0,-73.0,66.0,364,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,,,,,,,,3.0,310.0,226.0,36.0,35.7,74.7,down,-38.9,14.0,5.0,1.0,8.0,2.0,17.3,45.78829804950008,High School,LOW,60,On Track,['idle_pool'],On Track
AP Macroeconomics,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,99.0,83.0,0.0,0.0,83.8,down,-83.8,0.0,0.0,0.0,0.0,0.0,26.68166,48.0375016449721,AP,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
IB Mathematics: Applications and Interpretation,1.0,3,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,120.0,101.0,0.0,0.0,84.2,down,-84.2,0.0,0.0,0.0,7.0,3.0,69.034999,53.79081521472393,IB,LOW,60,Recruit More,"['new_tutor_stuck', 'paper_supply']",True Supply Problem
IB Chemistry,2.0,3,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,,,,,,,0.0,1.0,112.0,89.0,0.0,0.0,80.2,down,-80.2,1.0,0.0,0.0,19.0,9.0,45.13333,46.82493137457934,IB,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Digital Media,13.0,3,16.0,-74.0,67.0,379,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,3.0,93.0,72.0,60.0,60.0,78.4,down,-18.4,5.0,3.0,0.0,8.0,1.0,129.499995,44.25823982227159,Arts & Music,LOW,60,Investigate — Wait Times,"['idle_pool', 'critical_wait']",On Track — High Wait
Artificial Intelligence (AI),4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,85.0,74.0,50.0,50.0,88.0,down,-38.0,2.0,1.0,0.0,10.0,5.0,77.773327,31.96991738712776,College,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Management,2.0,3,2.0,57.0,-8.0,64,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,,,,,,,,0.0,1.0,162.0,125.0,33.0,33.3,78.0,down,-44.7,3.0,1.0,2.0,7.0,2.0,2.51666,43.16664858208955,College,LOW,60,Investigate — Capacity Available,['idle_pool'],Under-Used
Viral Content Creation,1.0,4,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,21.0,18.0,0.0,0.0,85.7,down,-85.7,0.0,0.0,,,,,31.2892404109589,Other,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Social Networking,1.0,4,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,0.0,1.0,64.0,51.0,0.0,0.0,79.7,down,-79.7,0.0,0.0,0.0,1.0,0.0,43.28333,36.44152541928721,Technology,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Middle School English,82.0,2,98.0,-98.0,561.0,4415,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,9.0,2332.0,1700.0,43.0,43.0,74.5,down,-31.6,121.0,52.0,14.0,181.0,27.0,25.8,43.33155724385668,Middle School,LOW,60,On Track,['idle_pool'],On Track
MCAT,5.0,3,6.0,-49.0,17.0,194,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,2.0,3.0,135.0,111.0,80.0,80.0,82.3,flat,-2.3,5.0,4.0,2.0,16.0,13.0,24.0,44.105730369127514,Test Prep,LOW,60,On Track,['idle_pool'],On Track
ESL/ELL,24.0,3,29.0,-89.0,149.0,884,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,877.0,639.0,22.0,22.2,74.5,down,-52.2,27.0,6.0,4.0,15.0,8.0,17.6,44.628971602008214,Language,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Python,12.0,2,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,476.0,380.0,62.0,62.5,80.1,down,-17.6,8.0,5.0,1.0,10.0,5.0,19.33333,38.76677320070826,College,LOW,60,On Track,['idle_pool'],On Track
Anatomy & Physiology,21.0,2,25.0,-92.0,135.0,1225,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,449.0,323.0,41.0,40.7,73.9,down,-33.2,27.0,11.0,4.0,24.0,20.0,23.65,42.35219055131049,College,LOW,60,On Track,['idle_pool'],On Track
Kindergarten Readiness,14.0,3,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,280.0,209.0,27.0,26.7,77.4,down,-50.7,15.0,4.0,2.0,2.0,1.0,24.0,45.49506357713947,Elementary,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Microsoft Excel,13.0,3,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,410.0,313.0,31.0,30.8,77.8,down,-47.1,13.0,4.0,4.0,4.0,1.0,24.0,41.61280984044774,Technology,LOW,60,On Track,['idle_pool'],On Track
HSPT,6.0,4,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,185.0,148.0,75.0,75.0,80.7,down,-5.7,24.0,18.0,3.0,13.0,7.0,8.459998,56.89648108725444,Test Prep,LOW,60,On Track,[],On Track
AP US History,10.0,3,12.0,-71.0,50.0,350,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,281.0,192.0,43.0,42.9,69.0,down,-26.1,7.0,3.0,1.0,1.0,1.0,17.393332,46.34320243858865,AP,LOW,60,On Track,['idle_pool'],On Track
Chess,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,95.0,80.0,0.0,0.0,85.1,down,-85.1,1.0,0.0,,,,47.02666,43.0155118651124,Other,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Spanish 3,13.0,3,16.0,-80.0,73.0,506,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,539.0,419.0,14.0,14.3,78.6,down,-64.3,7.0,1.0,0.0,13.0,5.0,16.45833,42.837851527058405,Language,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Reading,39.0,3,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,957.0,721.0,36.0,36.1,76.9,down,-40.8,36.0,13.0,1.0,22.0,5.0,15.94666,43.23875703271365,High School,LOW,60,On Track,['idle_pool'],On Track
ASVAB,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,64.0,51.0,0.0,0.0,81.0,down,-81.0,1.0,0.0,0.0,0.0,0.0,20.02166,57.53799571846282,Test Prep,LOW,60,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Piano,6.0,2,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,167.0,117.0,0.0,0.0,71.8,down,-71.8,4.0,0.0,0.0,20.0,1.0,46.7,37.9927041956473,Arts & Music,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP World History,8.0,2,10.0,-70.0,39.0,329,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,,,,,,3.0,2.0,259.0,186.0,100.0,100.0,71.3,up,28.7,5.0,5.0,0.0,1.0,1.0,28.099995,45.82286847379497,AP,LOW,60,On Track,['idle_pool'],On Track
Microeconomics,4.0,2,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,2.0,164.0,126.0,67.0,66.7,77.0,down,-10.4,3.0,2.0,0.0,1.0,1.0,47.41666,48.66993391438886,College,LOW,60,On Track,['idle_pool'],On Track
French 2,5.0,3,6.0,-49.0,17.0,194,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,1.0,1.0,190.0,148.0,33.0,33.3,78.6,down,-45.3,3.0,1.0,1.0,0.0,0.0,5.94333,43.88917840136054,Language,LOW,60,On Track,['idle_pool'],On Track
Linear Algebra,7.0,2,8.0,-65.0,32.0,288,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,319.0,267.0,67.0,66.7,83.9,down,-17.2,3.0,2.0,0.0,3.0,2.0,52.32333,46.27054021961005,College,LOW,60,On Track,['idle_pool'],On Track
Psychology,19.0,2,23.0,-89.0,119.0,950,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,382.0,272.0,21.0,20.8,74.6,down,-53.7,24.0,5.0,5.0,98.0,18.0,0.886662,41.89376160892435,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
English Grammar and Syntax,62.0,3,74.0,-96.0,416.0,2411,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,,,,,,,,2.0,1250.0,925.0,33.0,33.3,74.8,down,-41.5,24.0,8.0,1.0,35.0,7.0,13.75,44.28880062261331,High School,LOW,60,On Track,['idle_pool'],On Track
Competition Math,3.0,3,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,2.0,163.0,138.0,0.0,0.0,85.7,down,-85.7,2.0,0.0,0.0,1.0,1.0,91.70333,53.318020223577236,High School,LOW,60,Investigate — Wait Times,"['new_tutor_stuck', 'high_wait']",On Track — High Wait
Mechanical Engineering,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,,,,,,1.0,5.0,152.0,126.0,33.0,33.3,83.9,down,-50.6,3.0,1.0,,,,72.806663,41.98709067562909,College,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP English Literature and Composition,14.0,3,17.0,-82.0,80.0,544,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,206.0,149.0,100.0,100.0,71.8,up,28.2,4.0,4.0,1.0,48.0,8.0,15.99333,43.74352340099233,AP,LOW,60,On Track,['idle_pool'],On Track
Physics 2,3.0,3,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,1.0,1.0,158.0,128.0,100.0,100.0,80.9,up,19.1,1.0,1.0,,,,23.071666,44.4533551099113,College,LOW,60,On Track,['idle_pool'],On Track
College and University Admissions,19.0,2,23.0,-89.0,119.0,950,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,310.0,249.0,21.0,21.4,83.1,down,-61.7,14.0,3.0,1.0,10.0,2.0,143.53333,39.30577500479938,College,LOW,60,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'critical_wait']",On Track — High Wait
AP Microeconomics,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,,,,,,,,2.0,110.0,87.0,50.0,50.0,80.2,down,-30.2,4.0,2.0,,,,29.60833,49.05882970313542,AP,LOW,60,On Track,['idle_pool'],On Track
C++,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,152.0,128.0,0.0,0.0,84.8,down,-84.8,1.0,0.0,,,,24.0,40.37260705443699,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Pharmacology,8.0,2,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,145.0,110.0,38.0,37.5,78.1,down,-40.6,8.0,3.0,1.0,27.0,17.0,24.0,41.90092944373401,College,LOW,60,On Track,['idle_pool'],On Track
French 3,4.0,3,5.0,-14.0,4.0,117,False,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,,,,,,,,1.0,1.0,149.0,120.0,50.0,50.0,81.0,down,-31.0,2.0,1.0,0.0,0.0,0.0,0.094999,45.05352776730406,Language,LOW,60,On Track,['idle_pool'],On Track
Math 2,3.0,4,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,,,,,,,,2.0,370.0,308.0,50.0,50.0,83.4,down,-33.4,2.0,1.0,0.0,0.0,0.0,63.249995,45.988236105698974,High School,LOW,60,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Multivariable Calculus,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,0.0,2.0,149.0,128.0,0.0,0.0,85.9,down,-85.9,0.0,0.0,0.0,12.0,5.0,26.405,51.30671521035599,College,LOW,60,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
JavaScript,4.0,2,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,160.0,126.0,50.0,50.0,79.1,down,-29.1,2.0,1.0,0.0,0.0,0.0,23.411663,39.70472575488454,College,LOW,60,On Track,['idle_pool'],On Track
AP Computer Science Principles,4.0,2,5.0,-43.0,12.0,175,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,2.0,3.0,190.0,160.0,50.0,50.0,84.6,down,-34.6,2.0,1.0,0.0,0.0,0.0,27.96666,43.42428935511608,AP,LOW,60,On Track,['idle_pool'],On Track
Corporate Finance,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,74.0,58.0,0.0,0.0,80.6,down,-80.6,2.0,0.0,,,,40.783328,54.33551002031144,College,LOW,60,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Vietnamese,1.0,4,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,,,,,,,,0.0,1.0,16.0,15.0,0.0,0.0,93.8,down,-93.8,0.0,0.0,,,,1.17666,37.15659318681318,Language,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Cyber Security,7.0,2,8.0,-71.0,35.0,350,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,78.0,51.0,12.0,12.5,71.4,down,-58.9,8.0,1.0,1.0,1.0,0.0,29.96666,33.70911659852821,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
BCABA,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,1.0,0.0,0.0,22.1,47.38352992125984,Professional/Cert,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Biology,3.0,2,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,138.0,110.0,50.0,50.0,80.1,down,-30.1,2.0,1.0,1.0,18.0,11.0,20.278331,44.02205543478261,IB,LOW,60,On Track,['idle_pool'],On Track
Electrical and Computer Engineering,1.0,2,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,1.0,1.0,71.0,60.0,100.0,100.0,84.3,up,15.7,1.0,1.0,,,,87.009994,33.98383605600933,College,LOW,60,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Statics and Dynamics,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,77.0,63.0,0.0,0.0,81.8,down,-81.8,0.0,0.0,0.0,0.0,0.0,34.188327,41.40852674281213,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Applied Mathematics,5.0,2,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,2.0,290.0,243.0,0.0,0.0,84.4,down,-84.4,2.0,0.0,,,,20.11666,52.21621575833073,College,LOW,60,Reduce Forecast,['new_tutor_stuck'],Over-Supplied
Robotics,1.0,2,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,0.0,1.0,54.0,46.0,0.0,0.0,85.2,down,-85.2,0.0,0.0,,,,136.66666,47.235342459239135,Technology,LOW,60,Recruit More,"['idle_pool', 'new_tutor_stuck', 'critical_wait', 'paper_supply']",True Supply Problem
Business Analytics,3.0,2,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,140.0,114.0,33.0,33.3,82.5,down,-49.1,3.0,1.0,0.0,140.0,24.0,36.13333,45.53601504899673,College,LOW,60,On Track,['idle_pool'],On Track
PTCE,1.0,2,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,,,,16.54333,50.784856232686984,Professional/Cert,LOW,60,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
