Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
Geometry,29.0,19,35.0,-35.0,72.0,155,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,23.0,,,,,,,15.0,15.0,1322.0,1078.0,63.0,63.3,82.0,down,-18.6,30.0,19.0,3.0,91.0,25.0,,,,27.983332,44.62085424377348,High School,HIGH,36,12,,,Unknown,On Track,['idle_pool'],On Track
AP Calculus AB,13.0,18,16.0,37.0,-34.0,73,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,13.0,10.0,12.0,25.0,26.0,25.0,15.0,,,,,,,14.0,8.0,637.0,530.0,71.0,70.6,83.5,down,-13.0,17.0,12.0,1.0,33.0,11.0,,,,40.48333,43.37086002776492,AP,HIGH,36,12,,,Unknown,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
College Chemistry,11.0,14,13.0,29.0,-22.0,78,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,14.0,,,,,,,10.0,10.0,442.0,349.0,50.0,50.0,80.3,down,-30.3,20.0,10.0,5.0,82.0,39.0,,,,26.683328,44.45051960747311,College,HIGH,36,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
Middle School Reading,92.0,12,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,,,,,,,,14.0,2191.0,1564.0,45.0,44.5,72.8,down,-28.3,110.0,49.0,16.0,112.0,21.0,,,,27.4,44.267593808567604,Middle School,HIGH,36,12,,,Unknown,On Track,['idle_pool'],On Track
Organic Chemistry,9.0,12,11.0,33.0,-21.0,75,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,11.0,,,,,,,1.0,9.0,306.0,248.0,80.0,80.0,81.1,flat,-1.1,5.0,4.0,4.0,44.0,24.0,,,,24.893328,44.55307590677574,College,HIGH,36,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
Executive Functioning,15.0,8,18.0,-46.0,48.0,184,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,,,,,,,9.0,5.0,433.0,332.0,45.0,45.0,78.2,down,-33.2,20.0,9.0,3.0,9.0,4.0,,,,32.13333,52.114613245917084,Other,MEDIUM,48,12,,,Unknown,On Track,[],On Track
High School Biology,36.0,10,43.0,-72.0,182.0,360,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,,,,,,,31.0,2.0,978.0,715.0,47.0,46.9,74.9,down,-28.1,64.0,30.0,17.0,162.0,55.0,,,,24.78333,41.99256505066561,High School,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
Statistics,12.0,12,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,11.0,,,,,,,12.0,9.0,584.0,494.0,74.0,73.7,85.0,down,-11.3,19.0,14.0,3.0,228.0,55.0,,,,22.916665,45.39051572952526,College,HIGH,36,12,,,Unknown,On Track,['idle_pool'],On Track
High School Physics,12.0,10,14.0,-15.0,13.0,118,False,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,14.0,14.0,14.0,9.0,,,,,,,6.0,2.0,737.0,606.0,62.0,62.5,82.4,down,-19.9,8.0,5.0,2.0,17.0,2.0,,,,28.91666,43.17685949584646,High School,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
College Application Essays,35.0,8,42.0,-76.0,186.0,415,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,,,,,,,,27.0,1.0,672.0,507.0,34.0,34.1,78.1,down,-44.0,41.0,14.0,4.0,116.0,19.0,,,,33.88333,44.23183388326632,College,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
Elementary School Writing,107.0,8,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,,,,,,,,8.0,2589.0,1846.0,44.0,44.1,72.7,down,-28.6,127.0,56.0,17.0,195.0,31.0,,,,40.41,43.554892651782836,Elementary,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
AP Chemistry,12.0,7,14.0,-40.0,34.0,168,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,,,,,,,8.0,7.0,491.0,394.0,67.0,66.7,80.7,down,-14.0,15.0,10.0,4.0,48.0,27.0,,,,42.3,43.57867047575836,AP,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
Middle School Science,60.0,6,72.0,-89.0,375.0,933,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,,,,,,,,10.0,1504.0,1100.0,47.0,46.9,75.3,down,-28.4,113.0,53.0,29.0,192.0,60.0,,,,41.56666,44.76000599354103,Middle School,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
College Biology,18.0,8,22.0,-54.0,68.0,217,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,,,,,,,11.0,5.0,544.0,417.0,62.0,61.9,77.2,down,-15.3,21.0,13.0,6.0,129.0,39.0,,,,25.7,41.92233631331304,College,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
LSAT,4.0,9,5.0,132.0,-37.0,43,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,10.0,,,,,,,2.0,22.0,101.0,78.0,100.0,100.0,76.5,up,23.5,3.0,3.0,1.0,58.0,25.0,,,,24.0,49.58972937323209,Test Prep,MEDIUM,48,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
Coding,15.0,6,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,,,,,,,,6.0,340.0,258.0,55.0,54.5,77.4,down,-22.8,22.0,12.0,2.0,11.0,5.0,,,,39.53666,40.27081056791569,College,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
Handwriting,16.0,5,19.0,-68.0,76.0,311,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,,,,,,,,6.0,244.0,187.0,29.0,28.6,78.1,down,-49.5,7.0,2.0,0.0,18.0,6.0,,,,16.18833,46.30434529727914,Elementary,MEDIUM,48,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Elementary School English,92.0,7,110.0,-93.0,598.0,1400,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,,,,,,,,7.0,2894.0,2073.0,40.0,40.0,73.2,down,-33.2,135.0,54.0,16.0,214.0,33.0,,,,24.0,43.29361862759867,Elementary,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
AP Physics 1,10.0,5,12.0,-47.0,33.0,189,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,,,,,,,5.0,1.0,514.0,433.0,75.0,75.0,84.4,down,-9.4,8.0,6.0,1.0,3.0,1.0,,,,26.85666,43.99025062039814,AP,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
AP Calculus BC,5.0,7,6.0,34.0,-12.0,74,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,5.0,4.0,4.0,9.0,10.0,9.0,6.0,,,,,,,4.0,3.0,370.0,317.0,50.0,50.0,86.1,down,-36.1,4.0,2.0,1.0,10.0,1.0,,,,40.88333,46.163544868532654,AP,MEDIUM,48,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Human Geography,3.0,5,4.0,81.0,-17.0,55,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,,,,,,,2.0,2.0,105.0,78.0,33.0,33.3,75.5,down,-42.2,3.0,1.0,0.0,0.0,0.0,,,,26.15,48.711245121321625,AP,MEDIUM,48,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
Spanish 1,19.0,6,23.0,-68.0,90.0,309,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,,,,,,,14.0,1.0,632.0,485.0,50.0,50.0,77.7,down,-27.7,22.0,11.0,1.0,8.0,3.0,,,,23.593332,43.28421460602989,Language,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
Spanish 2,14.0,4,17.0,-68.0,67.0,316,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,,,,,,,,5.0,2.0,602.0,466.0,20.0,20.0,78.4,down,-58.4,10.0,2.0,0.0,15.0,6.0,,,,6.961663,42.57033649874844,Language,MEDIUM,48,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP Statistics,7.0,5,8.0,-31.0,15.0,144,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,,,,,,,7.0,1.0,385.0,323.0,45.0,45.5,85.0,down,-39.6,11.0,5.0,3.0,141.0,23.0,,,,41.36666,49.26875387321514,AP,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
AP English Language and Composition,30.0,5,36.0,-83.0,175.0,600,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,,,,,,,,4.0,557.0,400.0,48.0,48.0,74.2,down,-26.2,50.0,24.0,8.0,171.0,24.0,,,,22.06,44.70511889239397,AP,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
Essay Editing,57.0,5,68.0,-91.0,364.0,1140,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,,,,,,,,4.0,1205.0,896.0,40.0,40.3,76.4,down,-36.1,67.0,27.0,10.0,172.0,27.0,,,,22.2,41.50523155097613,Other,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
AP Physics C: Mechanics,2.0,5,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,4.0,,,,,,,1.0,4.0,151.0,127.0,0.0,0.0,84.1,down,-84.1,0.0,0.0,0.0,0.0,0.0,,,,65.716665,45.6956603132429,AP,MEDIUM,48,12,,,Unknown,Recruit More,"['idle_pool', 'new_tutor_stuck', 'paper_supply']",True Supply Problem
Calculus 3,3.0,5,4.0,62.0,-13.0,62,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,4.0,,,,,,,1.0,3.0,264.0,226.0,100.0,100.0,85.6,up,14.4,1.0,1.0,0.0,1.0,0.0,,,,23.269998,46.9103907854846,College,MEDIUM,48,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
AP Computer Science A,7.0,6,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,4.0,,,,,,,,4.0,204.0,164.0,29.0,28.6,82.2,down,-53.7,7.0,2.0,1.0,8.0,1.0,,,,35.486664,41.1987038241271,AP,MEDIUM,48,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Mathematics: Analysis and Approaches,1.0,6,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,4.0,,,,,,,0.0,1.0,138.0,115.0,0.0,0.0,83.3,down,-83.3,0.0,0.0,0.0,0.0,0.0,,,,38.449995,51.64109792706915,IB,MEDIUM,48,12,,,Unknown,Investigate — Capacity Available,['new_tutor_stuck'],Under-Used
Adobe Illustrator,10.0,3,12.0,-69.0,48.0,318,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,,,,,,,,4.0,96.0,73.0,83.0,83.3,75.6,up,7.8,6.0,5.0,1.0,1.0,1.0,,,,1.863328,35.5008376082251,Arts & Music,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
SAT Math,14.0,2,17.0,-85.0,83.0,653,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,15.0,4.0,735.0,614.0,73.0,73.3,84.0,down,-10.6,30.0,22.0,3.0,11.0,4.0,,,,28.56666,46.3605188455634,Test Prep,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Study Skills And Organization,17.0,4,20.0,-77.0,92.0,441,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,,,,,,,3.0,2.0,968.0,775.0,50.0,50.0,80.5,down,-30.5,14.0,7.0,2.0,9.0,4.0,,,,40.353332,47.88026477989871,Other,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Calculus 2,11.0,5,13.0,-57.0,44.0,233,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,,,,,,,5.0,1.0,510.0,426.0,57.0,57.1,83.9,down,-26.8,7.0,4.0,1.0,103.0,20.0,,,,24.0,44.275876222451785,College,MEDIUM,48,12,,,Unknown,On Track,['idle_pool'],On Track
Public Speaking,26.0,3,31.0,-89.0,162.0,910,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,,,,,,,,8.0,709.0,544.0,47.0,47.1,77.5,down,-30.4,17.0,8.0,2.0,3.0,0.0,,,,24.013328,45.53181106146677,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Trigonometry,24.0,3,29.0,-86.0,145.0,730,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,,,,,,,,4.0,867.0,700.0,66.0,65.5,81.3,down,-15.7,29.0,19.0,3.0,40.0,6.0,,,,26.531663,44.58162369103349,High School,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Nursing,12.0,3,14.0,-75.0,63.0,400,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,4.0,142.0,99.0,38.0,38.5,72.9,down,-34.4,13.0,5.0,1.0,0.0,0.0,,,,24.011662,44.96082152537031,Professional/Cert,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
College English,33.0,4,40.0,-88.0,204.0,856,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,,,,,,,,4.0,937.0,687.0,44.0,44.3,75.3,down,-31.1,61.0,27.0,10.0,147.0,17.0,,,,18.08,45.056758406366946,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Finance,6.0,3,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,,,,,,,6.0,1.0,141.0,107.0,12.0,12.5,79.7,down,-67.2,8.0,1.0,,,,,,,41.716665,49.36611586224233,College,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Biochemistry,7.0,3,8.0,-57.0,28.0,233,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,4.0,243.0,185.0,50.0,50.0,76.6,down,-26.6,4.0,2.0,3.0,49.0,25.0,,,,30.564998,43.70268647058823,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
College Economics,5.0,4,6.0,-17.0,6.0,121,False,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,,,,,,,2.0,3.0,178.0,144.0,67.0,66.7,81.4,down,-14.7,6.0,4.0,0.0,0.0,0.0,,,,51.94333,48.42041410309707,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
Autocad,2.0,2,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,2.0,1.0,69.0,51.0,100.0,100.0,73.1,up,26.9,2.0,2.0,0.0,0.0,0.0,,,,63.05666,33.15149543589744,Technology,LOW,60,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP Pre-Calculus,8.0,37,10.0,362.0,-203.0,22,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,25.0,,,,,,,9.0,19.0,508.0,437.0,67.0,66.7,86.6,down,-19.9,15.0,10.0,3.0,142.0,31.0,,,,37.471666,46.92003225041066,AP,CORE,24,12,,,Unknown,Recruit More,"['idle_pool', 'high_wait', 'paper_supply']",True Supply Problem
Managerial Accounting,5.0,4,6.0,-23.0,8.0,130,False,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,,,,,,,0.0,3.0,122.0,99.0,25.0,25.0,83.1,down,-58.1,4.0,1.0,,,,,,,21.98333,49.59964861137713,College,LOW,60,12,,,Unknown,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Macroeconomics,5.0,3,6.0,-31.0,11.0,146,False,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,,,,,,,1.0,2.0,117.0,91.0,100.0,100.0,77.6,up,22.4,1.0,1.0,0.0,1.0,1.0,,,,24.0,48.26395541335178,College,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
AP Environmental Science,4.0,4,5.0,-4.0,1.0,104,False,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,,,,,,,0.0,4.0,120.0,93.0,50.0,50.0,78.4,down,-28.4,4.0,2.0,3.0,6.0,3.0,,,,59.01666,44.67087221350078,AP,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
High School World History,13.0,4,16.0,-73.0,66.0,364,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,,,,,,,,3.0,309.0,226.0,33.0,33.3,75.2,down,-41.8,15.0,5.0,2.0,9.0,3.0,,,,17.3,45.94944696771021,High School,LOW,60,12,,,Unknown,On Track,['idle_pool'],On Track
