Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
Middle School Math,103.0,35,124.0,-66.0,473.0,291,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,,,,,,,,61.0,3349.0,2538.0,53.0,53.4,76.8,down,-23.4,148.0,79.0,20.0,381.0,68.0,,,,26.08333,42.67988355382466,Middle School,CORE,24,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
High School Chemistry,18.0,39,22.0,115.0,-145.0,46,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,36.0,,,,,,,14.0,28.0,764.0,603.0,54.0,53.6,79.9,down,-26.3,28.0,15.0,7.0,155.0,41.0,,,,27.44333,41.81977269561655,High School,CORE,24,12,,,Unknown,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Elementary School Math,131.0,24,157.0,-82.0,749.0,546,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,,,,,,,,57.0,4168.0,3106.0,48.0,47.6,75.8,down,-28.2,191.0,91.0,31.0,249.0,41.0,,,,28.08333,42.66080385253525,Elementary,CORE,24,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
SAT,11.0,36,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,28.0,,,,,,,15.0,33.0,662.0,560.0,84.0,83.9,84.6,flat,-0.8,31.0,26.0,3.0,96.0,35.0,,,,38.833328,46.43668042027509,Test Prep,CORE,24,12,,,Unknown,Recruit More,"['idle_pool', 'high_wait', 'paper_supply']",True Supply Problem
Pre-Calculus,31.0,28,37.0,-9.0,19.0,110,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,26.0,,,,,,,17.0,16.0,1431.0,1159.0,67.0,66.7,81.3,down,-14.6,30.0,20.0,2.0,153.0,33.0,,,,37.15,42.3612738784576,High School,CORE,24,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Elementary School Reading,113.0,25,136.0,-78.0,616.0,452,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,,,,,,,,38.0,3003.0,2143.0,39.0,39.2,72.8,down,-33.6,125.0,49.0,20.0,110.0,21.0,,,,31.05,43.20172510487144,Elementary,CORE,24,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Algebra 2,38.0,24,46.0,-37.0,99.0,159,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,29.0,,,,,,,28.0,15.0,1488.0,1181.0,65.0,65.4,79.9,down,-14.5,52.0,34.0,6.0,209.0,36.0,,,,38.556662,43.47073657052825,High School,CORE,24,12,,,Unknown,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Algebra,63.0,18,76.0,-72.0,316.0,353,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,,,,,,,,30.0,2553.0,2023.0,54.0,53.8,80.2,down,-26.4,93.0,50.0,16.0,315.0,61.0,,,,26.17333,42.74448309092288,High School,HIGH,36,12,,,Unknown,On Track,['idle_pool'],On Track
AP Biology,23.0,17,28.0,-24.0,39.0,132,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,16.0,,,,,,,13.0,7.0,623.0,473.0,59.0,58.6,76.8,down,-18.1,29.0,17.0,10.0,138.0,44.0,,,,38.29,41.08506040881862,AP,HIGH,36,12,,,Unknown,Investigate — Wait Times,['idle_pool'],On Track — High Wait
College Accounting,7.0,16,8.0,127.0,-62.0,44,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,,,,,,,5.0,9.0,170.0,130.0,30.0,30.0,79.4,down,-49.4,10.0,3.0,1.0,0.0,0.0,,,,26.81666,47.28136827875095,College,HIGH,36,12,,,Unknown,Investigate — Capacity Available,['idle_pool'],Under-Used
