Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Digital Media,13.0,3,16.0,-74.0,67.0,379,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,,,,,,,,3.0,93.0,72.0,60.0,60.0,78.4,down,-18.4,5.0,3.0,129.499995,0.448006588725354,Arts & Music,LOW,60,Investigate — Wait Times,"['idle_pool', 'critical_wait']",On Track — High Wait
Artificial Intelligence (AI),4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,1.0,1.0,85.0,74.0,50.0,50.0,88.0,down,-38.0,2.0,1.0,77.773327,0.3230004303554274,College,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Management,2.0,3,2.0,57.0,-8.0,64,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,,,,,,,,0.0,1.0,162.0,125.0,33.0,33.3,78.0,down,-44.7,3.0,1.0,2.51666,0.4348915935323383,College,LOW,60,Investigate — Capacity Available,['idle_pool'],Under-Used
Viral Content Creation,1.0,4,1.0,286.0,-20.0,26,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,3.0,,,,,,,0.0,1.0,21.0,18.0,0.0,0.0,85.7,down,-85.7,0.0,0.0,,0.3235944589041096,Other,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Social Networking,1.0,4,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,,,,,,0.0,1.0,64.0,51.0,0.0,0.0,79.7,down,-79.7,0.0,0.0,43.28333,0.3717488128930817,Technology,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Middle School English,82.0,2,98.0,-98.0,561.0,4415,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,,,,,,,,9.0,2328.0,1698.0,43.0,43.0,74.6,down,-31.6,121.0,52.0,25.8,0.4328155815267105,Middle School,LOW,60,On Track,['idle_pool'],On Track
MCAT,5.0,3,6.0,-49.0,17.0,194,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,,,2.0,3.0,134.0,110.0,80.0,80.0,82.2,flat,-2.2,5.0,4.0,24.0,0.4441359672190201,Test Prep,LOW,60,On Track,['idle_pool'],On Track
ESL/ELL,24.0,3,29.0,-89.0,149.0,884,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,,,,,,,,14.0,1.0,874.0,638.0,22.0,22.2,74.6,down,-52.4,27.0,6.0,17.6,0.4450744913015758,Language,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Python,12.0,2,14.0,-83.0,70.0,600,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,3.0,473.0,378.0,62.0,62.5,80.2,down,-17.7,8.0,5.0,19.58333,0.3915056518518519,College,LOW,60,On Track,['idle_pool'],On Track
Anatomy & Physiology,21.0,2,25.0,-92.0,135.0,1225,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,4.0,450.0,324.0,41.0,40.7,74.0,down,-33.3,27.0,11.0,23.65,0.4216778550914909,College,LOW,60,On Track,['idle_pool'],On Track
Kindergarten Readiness,14.0,3,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,,,,,,,,3.0,278.0,208.0,21.0,21.4,77.7,down,-56.2,14.0,3.0,24.0,0.457439953657092,Elementary,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Microsoft Excel,13.0,3,16.0,-77.0,70.0,433,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,,,,,,,6.0,1.0,405.0,311.0,33.0,33.3,78.1,down,-44.8,12.0,4.0,24.0,0.4178926996235884,Technology,LOW,60,On Track,['idle_pool'],On Track
HSPT,6.0,4,7.0,-31.0,13.0,145,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,,,,,,,,9.0,3.0,182.0,147.0,75.0,75.0,81.6,down,-6.6,24.0,18.0,8.459998,0.5672167557489693,Test Prep,LOW,60,On Track,['idle_pool'],On Track
AP US History,10.0,3,12.0,-71.0,50.0,350,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,,,,,,,5.0,1.0,280.0,191.0,43.0,42.9,68.9,down,-26.0,7.0,3.0,17.521666,0.4587708219923303,AP,LOW,60,On Track,['idle_pool'],On Track
Chess,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,95.0,80.0,0.0,0.0,85.1,down,-85.1,1.0,0.0,47.02666,0.4349077410491258,Other,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Spanish 3,13.0,3,16.0,-80.0,73.0,506,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,,,,,,,3.0,2.0,537.0,419.0,14.0,14.3,78.9,down,-64.6,7.0,1.0,15.451663,0.4299515812913611,Language,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
High School Reading,39.0,3,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,,,,,,,,2.0,953.0,719.0,36.0,36.1,77.0,down,-40.9,36.0,13.0,16.43666,0.4341758014123072,High School,LOW,60,On Track,['idle_pool'],On Track
ASVAB,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,,,,,,,0.0,3.0,64.0,51.0,0.0,0.0,81.0,down,-81.0,1.0,0.0,20.02166,0.5764385551378446,Test Prep,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Piano,6.0,2,7.0,-71.0,30.0,350,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,167.0,117.0,0.0,0.0,71.8,down,-71.8,4.0,0.0,46.7,0.3811339460904433,Arts & Music,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
AP World History,8.0,2,10.0,-70.0,39.0,329,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,,,,,,3.0,2.0,258.0,185.0,100.0,100.0,71.1,up,28.9,5.0,5.0,28.506662,0.4510077851918645,AP,LOW,60,On Track,['idle_pool'],On Track
Microeconomics,4.0,2,5.0,-57.0,16.0,233,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,1.0,2.0,162.0,125.0,67.0,66.7,77.4,down,-10.7,3.0,2.0,47.41666,0.4873785843218153,College,LOW,60,On Track,['idle_pool'],On Track
French 2,5.0,3,6.0,-49.0,17.0,194,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,1.0,1.0,188.0,147.0,33.0,33.3,78.9,down,-45.6,3.0,1.0,5.94333,0.4403912914540815,Language,LOW,60,On Track,['idle_pool'],On Track
Linear Algebra,7.0,2,8.0,-65.0,32.0,288,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,3.0,3.0,317.0,266.0,67.0,66.7,84.1,down,-17.4,3.0,2.0,52.32333,0.4652019294713873,College,LOW,60,On Track,['idle_pool'],On Track
Psychology,19.0,2,23.0,-89.0,119.0,950,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,377.0,271.0,25.0,25.0,74.5,down,-49.5,20.0,5.0,0.886662,0.4198877389158058,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
English Grammar and Syntax,62.0,3,74.0,-96.0,416.0,2411,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,,,,,,,,2.0,1246.0,923.0,33.0,33.3,74.9,down,-41.5,24.0,8.0,13.75,0.4433463154120378,High School,LOW,60,On Track,['idle_pool'],On Track
Competition Math,3.0,3,4.0,-14.0,3.0,117,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,,2.0,162.0,137.0,0.0,0.0,85.6,down,-85.6,2.0,0.0,91.70333,0.5364220635121458,High School,LOW,60,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'high_wait']",On Track — High Wait
Mechanical Engineering,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,,,,,,1.0,5.0,152.0,126.0,33.0,33.3,83.9,down,-50.6,3.0,1.0,72.806663,0.4189769083877621,College,LOW,60,Investigate — Wait Times,['idle_pool'],On Track — High Wait
AP English Literature and Composition,14.0,3,17.0,-82.0,80.0,544,False,18.0,False,,18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,1.0,206.0,149.0,100.0,100.0,71.8,up,28.2,4.0,4.0,15.99333,0.4393802860483944,AP,LOW,60,On Track,['idle_pool'],On Track
Physics 2,3.0,3,4.0,-10.0,2.0,111,False,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,1.0,1.0,160.0,130.0,100.0,100.0,81.1,up,18.9,1.0,1.0,23.071666,0.4411672683020314,College,LOW,60,On Track,['idle_pool'],On Track
College and University Admissions,19.0,2,23.0,-89.0,119.0,950,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,307.0,247.0,23.0,23.1,83.0,down,-59.9,13.0,3.0,143.53333,0.3954325142148445,College,LOW,60,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'critical_wait']",On Track — High Wait
AP Microeconomics,4.0,3,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,2.0,2.0,1.0,2.0,3.0,5.0,6.0,2.0,2.0,1.0,2.0,4.0,6.0,4.0,2.0,,,,,,,,2.0,109.0,86.0,50.0,50.0,80.0,down,-30.0,4.0,2.0,30.789996,0.4879039710096634,AP,LOW,60,On Track,['idle_pool'],On Track
C++,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,151.0,127.0,0.0,0.0,84.7,down,-84.7,1.0,0.0,24.0,0.4088489026099925,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Pharmacology,8.0,2,10.0,-75.0,42.0,400,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,144.0,110.0,38.0,37.5,78.7,down,-41.2,8.0,3.0,24.0,0.4098697100515464,College,LOW,60,On Track,['idle_pool'],On Track
French 3,4.0,3,5.0,-14.0,4.0,117,False,24.0,False,,24.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,,,,,,,,1.0,1.0,147.0,119.0,50.0,50.0,81.4,down,-31.4,2.0,1.0,0.094999,0.4517830158901158,Language,LOW,60,On Track,['idle_pool'],On Track
Math 2,3.0,4,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,2.0,2.0,2.0,2.0,4.0,6.0,8.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,3.0,,,,,,,,2.0,370.0,308.0,50.0,50.0,83.4,down,-33.4,2.0,1.0,63.249995,0.4595109653081028,High School,LOW,60,Investigate — Capacity Available,['idle_pool'],Under-Used
Multivariable Calculus,2.0,3,2.0,36.0,-5.0,74,True,19.0,True,['Apr'],19.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,,,,,,,0.0,2.0,148.0,127.0,0.0,0.0,85.8,down,-85.8,0.0,0.0,26.405,0.5132254967914438,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
JavaScript,4.0,2,5.0,-50.0,14.0,200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,159.0,125.0,50.0,50.0,79.0,down,-29.0,2.0,1.0,23.411663,0.4008005710479573,College,LOW,60,On Track,['idle_pool'],On Track
AP Computer Science Principles,4.0,2,5.0,-43.0,12.0,175,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,2.0,3.0,189.0,159.0,50.0,50.0,84.5,down,-34.5,2.0,1.0,27.96666,0.4382462237317282,AP,LOW,60,On Track,['idle_pool'],On Track
Corporate Finance,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,72.0,58.0,0.0,0.0,82.9,down,-82.9,2.0,0.0,40.783328,0.5320163087339201,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Vietnamese,1.0,4,1.0,257.0,-18.0,28,True,25.0,False,,25.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,,,,,,,,0.0,1.0,16.0,15.0,0.0,0.0,93.8,down,-93.8,0.0,0.0,1.17666,0.3815934021978022,Language,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Cyber Security,7.0,2,8.0,-71.0,35.0,350,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,78.0,51.0,12.0,12.5,71.4,down,-58.9,8.0,1.0,29.96666,0.3418287350776778,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
BCABA,2.0,2,2.0,0.0,0.0,100,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,14.0,7.0,0.0,0.0,53.8,down,-53.8,1.0,0.0,19.895,0.4910597086614173,Professional/Cert,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
IB Biology,3.0,2,4.0,-33.0,7.0,150,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,138.0,110.0,50.0,50.0,80.1,down,-30.1,2.0,1.0,20.278331,0.4360525517703862,IB,LOW,60,On Track,['idle_pool'],On Track
Electrical and Computer Engineering,1.0,2,1.0,143.0,-10.0,41,True,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,1.0,1.0,71.0,60.0,100.0,100.0,84.3,up,15.7,1.0,1.0,95.853328,0.3388688156069364,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'high_wait']",Under-Used
Statics and Dynamics,2.0,2,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,76.0,63.0,0.0,0.0,82.9,down,-82.9,0.0,0.0,38.559994,0.4123206109589041,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Applied Mathematics,5.0,2,6.0,-54.0,19.0,219,False,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,2.0,288.0,241.0,0.0,0.0,84.3,down,-84.3,2.0,0.0,20.11666,0.5240691103191819,College,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Robotics,1.0,2,1.0,129.0,-9.0,44,True,16.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,,0.0,1.0,53.0,45.0,0.0,0.0,84.9,down,-84.9,0.0,0.0,136.66666,0.4723065658602151,Technology,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck', 'critical_wait']",Under-Used
Fine arts,6.0,2,7.0,-67.0,28.0,300,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,107.0,79.0,100.0,100.0,73.6,up,26.4,1.0,1.0,29.26666,0.4111889522625559,Arts & Music,LOW,60,On Track,['idle_pool'],On Track
Business Analytics,3.0,2,4.0,-19.0,4.0,124,False,17.0,True,['Apr'],17.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,,,,,,,2.0,3.0,140.0,114.0,33.0,33.3,82.5,down,-49.1,3.0,1.0,36.13333,0.4559928994400373,College,LOW,60,On Track,['idle_pool'],On Track
PTCE,1.0,2,1.0,100.0,-7.0,50,True,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,9.0,8.0,0.0,0.0,88.9,down,-88.9,0.0,0.0,16.54333,0.5215547063711912,Professional/Cert,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Filmmaking,2.0,2,2.0,7.0,-1.0,93,False,15.0,False,,15.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,2.0,1.0,44.0,31.0,20.0,20.0,76.9,down,-56.9,5.0,1.0,4.75,0.4127268309178744,Arts & Music,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Mac Basic Computer Skills,5.0,2,6.0,-60.0,21.0,250,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,,,,,,,,2.0,89.0,74.0,20.0,20.0,86.9,down,-66.9,5.0,1.0,20.58166,0.3949950623931624,Technology,LOW,60,Reduce Forecast,"['idle_pool', 'new_tutor_stuck']",Over-Supplied
Cost Accounting,2.0,3,2.0,57.0,-8.0,64,True,22.0,True,['Apr'],22.0,2.0,2.0,2.0,2.0,3.0,5.0,6.0,2.0,2.0,2.0,2.0,4.0,6.0,4.0,2.0,,,,,,,0.0,1.0,69.0,55.0,0.0,0.0,80.9,down,-80.9,1.0,0.0,5.671666,0.4617744178010471,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
PC Basic Computer Skills,5.0,2,6.0,-66.0,23.0,292,False,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,,,,,,2.0,123.0,102.0,33.0,33.3,84.2,down,-50.8,3.0,1.0,4.55,0.4425669817948718,Technology,LOW,60,On Track,['idle_pool'],On Track
Technical Writing,24.0,2,29.0,-92.0,154.0,1200,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,296.0,236.0,44.0,44.4,80.8,down,-36.4,9.0,4.0,24.0,0.4452911896207585,College,LOW,60,On Track,['idle_pool'],On Track
Music Recording,1.0,2,1.0,71.0,-5.0,58,True,12.0,False,,12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,2.0,46.0,30.0,0.0,0.0,65.2,down,-65.2,0.0,0.0,83.48333,0.3116596914335664,Arts & Music,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Probability,2.0,2,2.0,21.0,-3.0,82,True,17.0,False,,17.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,297.0,253.0,0.0,0.0,85.8,down,-85.8,2.0,0.0,25.661663,0.4922064895561358,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Linguistics,2.0,3,2.0,29.0,-4.0,78,True,18.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,,,,,,,0.0,1.0,163.0,122.0,0.0,0.0,74.8,down,-74.8,0.0,0.0,,0.4208907642198919,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Structural Engineering,1.0,2,1.0,129.0,-9.0,44,True,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,,,,,,,,0.0,1.0,22.0,18.0,0.0,0.0,85.7,down,-85.7,1.0,0.0,2.364997,0.4182425898089171,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Rhino,1.0,1,1.0,43.0,-3.0,70,True,10.0,False,,10.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,1.0,21.0,17.0,67.0,66.7,83.3,down,-16.7,3.0,2.0,1.85,0.2569940464285714,Technology,LOW,60,Investigate — Capacity Available,['idle_pool'],Under-Used
College Level American History,2.0,3,2.0,43.0,-6.0,70,True,20.0,False,,20.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,,,,,,,,,1.0,89.0,69.0,0.0,0.0,77.5,down,-77.5,0.0,0.0,21.658333,0.5109974193214729,College,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Clinical Psychology,3.0,2,4.0,-24.0,5.0,131,False,16.0,False,,16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,,,,,,,,,1.0,78.0,59.0,0.0,0.0,75.6,down,-75.6,0.0,0.0,113.76666,0.427605646742057,College,LOW,60,Investigate — Wait Times,"['idle_pool', 'new_tutor_stuck', 'high_wait']",On Track — High Wait
Conversational Spanish,18.0,10,22.0,-45.0,57.0,183,False,69.0,True,['Apr'],47.0,1.0,0.0,2.0,5.0,10.0,14.0,15.0,23.0,5.0,2.0,5.0,9.0,13.0,14.0,23.0,,,,,,,16.0,5.0,529.0,392.0,32.0,32.0,76.2,down,-44.2,25.0,8.0,24.0,0.4405997099009032,Language,MEDIUM,48,On Track,['idle_pool'],On Track
NCLEX,7.0,1,8.0,-98.0,48.0,4900,False,1.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,2.0,86.0,59.0,80.0,80.0,67.9,up,12.1,5.0,4.0,23.51666,0.431236075981642,Professional/Cert,NICHE,72,On Track,['idle_pool'],On Track
Japanese,1.0,3,1.0,171.0,-12.0,37,True,19.0,False,,19.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,5.0,4.0,,,,,,,,1.0,2.0,68.0,47.0,0.0,0.0,71.2,down,-71.2,2.0,0.0,5.776664,0.4403122618142314,Language,LOW,60,Investigate — Capacity Available,"['idle_pool', 'new_tutor_stuck']",Under-Used
Orton Gillingham,4.0,1,5.0,-96.0,27.0,2800,False,1.0,False,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,154.0,118.0,40.0,40.0,77.9,down,-37.9,5.0,2.0,24.629996,0.5099370353152434,Other,NICHE,72,On Track,['idle_pool'],On Track
Middle School Writing,99.0,1,119.0,-100.0,690.0,23100,False,3.0,True,['Apr'],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,3.0,1872.0,1324.0,41.0,41.4,72.9,down,-31.5,128.0,53.0,25.56666,0.4263425064470829,Middle School,NICHE,72,On Track,['idle_pool'],On Track
