Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Middle School Math,98.0,35.0,118.0,-64.0,438.0,277,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,,61.0,10313.0,4129.0,41.0,40.6,40.0,flat,0.6,229.0,93.0,On Track (Low Util),Middle School
High School Chemistry,15.0,39.0,18.0,158.0,-166.0,39,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,14.0,28.0,1646.0,823.0,47.0,46.9,50.1,down,-3.2,32.0,15.0,Possible Placement Issue,High School
Elementary School Math,120.0,24.0,144.0,-80.0,672.0,500,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,,57.0,12159.0,4837.0,40.0,39.5,39.8,flat,-0.3,286.0,113.0,On Track (Low Util),Elementary
SAT,11.0,36.0,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,15.0,33.0,1145.0,742.0,64.0,63.9,64.8,flat,-0.9,36.0,23.0,True Supply Problem,Test Prep
Pre-Calculus,25.0,28.0,30.0,13.0,-23.0,88,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,22.0,18.0,20.0,37.0,39.0,37.0,17.0,16.0,2965.0,1509.0,50.0,50.0,50.9,flat,-0.9,46.0,23.0,On Track,High School
Elementary School Reading,109.0,25.0,131.0,-77.0,588.0,436,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,,38.0,9933.0,3409.0,29.0,29.4,34.4,down,-5.1,245.0,72.0,On Track (Low Util),Elementary
Algebra 2,34.0,24.0,41.0,-30.0,71.0,143,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,28.0,15.0,3073.0,1601.0,51.0,51.4,52.1,flat,-0.7,70.0,36.0,On Track,High School
Algebra,53.0,18.0,64.0,-66.0,246.0,297,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,,30.0,5869.0,2958.0,42.0,42.5,50.5,down,-8.1,106.0,45.0,On Track (Low Util),High School
AP Biology,21.0,17.0,25.0,-17.0,25.0,120,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,13.0,7.0,1502.0,704.0,28.0,28.1,47.3,down,-19.2,32.0,9.0,On Track (Low Util),AP
College Accounting,5.0,16.0,6.0,217.0,-76.0,32,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,9.0,397.0,203.0,27.0,27.3,51.8,down,-24.5,11.0,3.0,Possible Placement Issue,College
Geometry,24.0,19.0,29.0,-22.0,37.0,128,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,15.0,15.0,2765.0,1455.0,55.0,54.5,52.6,flat,2.0,44.0,24.0,On Track,High School
AP Calculus AB,12.0,18.0,14.0,49.0,-41.0,67,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,12.0,10.0,12.0,25.0,26.0,25.0,14.0,8.0,1343.0,766.0,52.0,51.9,57.1,down,-5.3,27.0,14.0,True Supply Problem,AP
College Chemistry,9.0,14.0,11.0,57.0,-36.0,64,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,10.0,10.0,776.0,417.0,50.0,50.0,53.8,down,-3.8,18.0,9.0,True Supply Problem,College
Middle School Reading,92.0,12.0,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,,14.0,6656.0,2380.0,28.0,28.0,36.0,down,-8.0,232.0,65.0,On Track (Low Util),Middle School
Organic Chemistry,6.0,12.0,7.0,100.0,-42.0,50,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,1.0,9.0,655.0,331.0,60.0,60.0,50.5,up,9.5,5.0,3.0,True Supply Problem,College
Executive Functioning,14.0,8.0,17.0,-42.0,41.0,172,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,9.0,5.0,726.0,344.0,30.0,30.3,48.2,down,-17.9,33.0,10.0,On Track (Low Util),Other
High School Biology,33.0,10.0,40.0,-70.0,161.0,330,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,31.0,2.0,2329.0,1022.0,37.0,36.6,44.1,down,-7.5,71.0,26.0,On Track (Low Util),High School
Statistics,12.0,12.0,14.0,1.0,-1.0,99,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,16.0,17.0,16.0,12.0,9.0,1020.0,581.0,61.0,60.7,56.9,up,3.9,28.0,17.0,On Track,College
High School Physics,8.0,10.0,10.0,27.0,-15.0,79,True,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,8.0,6.0,7.0,14.0,14.0,14.0,6.0,2.0,1863.0,906.0,56.0,56.2,48.6,up,7.7,16.0,9.0,True Supply Problem,High School
College Application Essays,36.0,8.0,43.0,-77.0,193.0,427,False,59.0,False,,59.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,27.0,1.0,2183.0,927.0,19.0,19.0,43.6,down,-24.6,105.0,20.0,On Track (Low Util),College
Elementary School Writing,107.0,8.0,128.0,-92.0,692.0,1314,False,57.0,True,['Apr'],50.0,7.0,6.0,5.0,5.0,6.0,9.0,12.0,14.0,6.0,5.0,5.0,6.0,9.0,12.0,,8.0,8000.0,2713.0,28.0,28.0,34.1,down,-6.2,254.0,71.0,On Track (Low Util),Elementary
AP Chemistry,10.0,7.0,12.0,-29.0,20.0,140,False,50.0,True,['Apr'],49.0,7.0,5.0,5.0,5.0,7.0,9.0,11.0,8.0,5.0,5.0,5.0,9.0,9.0,9.0,8.0,7.0,894.0,522.0,71.0,70.6,58.2,up,12.4,17.0,12.0,On Track,AP
Middle School Science,61.0,6.0,73.0,-89.0,382.0,949,False,45.0,True,['Apr'],45.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,7.0,5.0,4.0,5.0,6.0,8.0,10.0,,10.0,3553.0,1495.0,36.0,35.5,42.4,down,-6.8,152.0,54.0,On Track (Low Util),Middle School
College Biology,16.0,8.0,19.0,-48.0,54.0,193,False,58.0,True,['Apr'],57.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,8.0,7.0,7.0,7.0,9.0,10.0,10.0,11.0,5.0,1158.0,563.0,31.0,30.8,49.0,down,-18.3,26.0,8.0,On Track (Low Util),College
LSAT,3.0,9.0,4.0,210.0,-44.0,32,True,65.0,True,['Apr'],61.0,6.0,7.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,11.0,9.0,2.0,22.0,235.0,113.0,33.0,33.3,48.5,down,-15.1,6.0,2.0,Possible Placement Issue,Test Prep
Coding,15.0,6.0,18.0,-58.0,61.0,239,False,44.0,True,['Apr'],44.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,8.0,8.0,,6.0,928.0,420.0,51.0,51.4,45.0,up,6.3,37.0,19.0,On Track,College
Handwriting,18.0,5.0,22.0,-71.0,90.0,350,False,36.0,True,['Apr'],36.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,6.0,6.0,,6.0,580.0,265.0,39.0,39.1,46.0,down,-6.8,23.0,9.0,On Track (Low Util),Elementary
Elementary School English,97.0,7.0,116.0,-93.0,633.0,1476,False,46.0,True,['Apr'],33.0,5.0,3.0,1.0,1.0,4.0,8.0,11.0,18.0,3.0,1.0,1.0,4.0,8.0,11.0,,7.0,9883.0,3399.0,25.0,24.6,34.7,down,-10.0,256.0,63.0,On Track (Low Util),Elementary
AP Physics 1,8.0,5.0,10.0,-34.0,19.0,151,False,37.0,True,['Apr'],36.0,5.0,4.0,3.0,4.0,5.0,7.0,8.0,6.0,4.0,3.0,4.0,5.0,7.0,8.0,5.0,1.0,845.0,516.0,53.0,52.9,61.2,down,-8.3,17.0,9.0,On Track,AP
