Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
AP Calculus BC,4.0,7.0,5.0,68.0,-19.0,60,True,47.0,True,['Apr'],46.0,5.0,5.0,4.0,4.0,7.0,9.0,12.0,6.0,4.0,5.0,4.0,9.0,10.0,9.0,4.0,3.0,723.0,446.0,71.0,71.4,61.6,up,9.8,7.0,5.0,True Supply Problem,AP
AP Human Geography,2.0,5.0,2.0,171.0,-24.0,37,True,38.0,True,['Apr'],38.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,2.0,2.0,293.0,103.0,25.0,25.0,35.3,down,-10.3,4.0,1.0,Possible Placement Issue,AP
Spanish 1,15.0,6.0,18.0,-59.0,62.0,244,False,43.0,True,['Apr'],43.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,14.0,1.0,1754.0,716.0,17.0,16.7,41.2,down,-24.6,30.0,5.0,On Track (Low Util),Language
Spanish 2,9.0,4.0,11.0,-51.0,32.0,203,False,31.0,False,,31.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,4.0,3.0,2.0,3.0,4.0,7.0,8.0,5.0,2.0,2033.0,764.0,9.0,9.1,37.7,down,-28.6,11.0,1.0,On Track (Low Util),Language
AP Statistics,6.0,5.0,7.0,-19.0,8.0,124,False,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,7.0,1.0,567.0,374.0,50.0,50.0,66.4,down,-16.4,16.0,8.0,On Track,AP
AP English Language and Composition,27.0,5.0,32.0,-81.0,154.0,540,False,35.0,True,['Apr'],35.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,4.0,4.0,3.0,4.0,5.0,7.0,8.0,,4.0,1174.0,468.0,28.0,27.9,40.6,down,-12.7,68.0,19.0,On Track (Low Util),AP
Essay Editing,46.0,5.0,55.0,-89.0,287.0,920,False,35.0,True,['Apr'],35.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,4.0,4.0,4.0,4.0,5.0,7.0,7.0,,4.0,5483.0,1779.0,21.0,20.6,32.7,down,-12.1,102.0,21.0,On Track (Low Util),Other
AP Physics C: Mechanics,2.0,5.0,2.0,136.0,-19.0,42,True,33.0,True,['Apr'],33.0,4.0,4.0,3.0,4.0,5.0,6.0,7.0,4.0,3.0,5.0,3.0,6.0,6.0,6.0,1.0,4.0,285.0,169.0,100.0,100.0,58.7,up,41.3,4.0,4.0,True Supply Problem,AP
Calculus 3,2.0,5.0,2.0,143.0,-20.0,41,True,34.0,True,['Apr'],34.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,3.0,577.0,326.0,100.0,100.0,56.4,up,43.6,1.0,1.0,True Supply Problem,College
AP Computer Science A,7.0,6.0,8.0,-20.0,10.0,126,False,39.0,True,['Apr'],39.0,4.0,4.0,3.0,4.0,6.0,8.0,10.0,4.0,4.0,3.0,4.0,8.0,8.0,8.0,,4.0,465.0,260.0,40.0,40.0,56.4,down,-16.4,15.0,6.0,On Track (Low Util),AP
IB Mathematics: Analysis and Approaches,1.0,6.0,1.0,500.0,-35.0,17,True,42.0,True,['Apr'],42.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,4.0,4.0,6.0,4.0,8.0,8.0,8.0,0.0,1.0,596.0,251.0,0.0,0.0,42.2,down,-42.2,1.0,0.0,Possible Placement Issue,IB
Adobe Illustrator,8.0,3.0,10.0,-61.0,34.0,255,False,22.0,True,['Apr'],25.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,,4.0,395.0,128.0,38.0,37.5,32.2,up,5.3,16.0,6.0,On Track (Low Util),Arts & Music
SAT Math,13.0,2.0,16.0,-84.0,76.0,607,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,4.0,1313.0,819.0,69.0,69.2,62.2,up,7.1,39.0,27.0,On Track,Test Prep
Study Skills And Organization,15.0,4.0,18.0,-74.0,78.0,389,False,27.0,True,['Apr'],21.0,3.0,2.0,1.0,1.0,3.0,5.0,6.0,9.0,2.0,1.0,1.0,3.0,5.0,6.0,3.0,2.0,2803.0,1139.0,34.0,34.5,40.7,down,-6.2,29.0,10.0,On Track (Low Util),Other
Calculus 2,7.0,5.0,8.0,-33.0,16.0,148,False,33.0,True,['Apr'],31.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,5.0,3.0,3.0,3.0,6.0,7.0,6.0,5.0,1.0,1108.0,611.0,70.0,70.0,55.0,up,15.0,10.0,7.0,On Track,College
Public Speaking,23.0,3.0,28.0,-88.0,141.0,805,False,20.0,True,['Apr'],14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,1.0,4.0,6.0,,8.0,3847.0,1379.0,18.0,17.5,36.0,down,-18.5,40.0,7.0,On Track (Low Util),College
Trigonometry,21.0,3.0,25.0,-84.0,124.0,639,False,23.0,True,['Apr'],22.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,4.0,2.0,2.0,2.0,3.0,4.0,6.0,,4.0,1524.0,874.0,55.0,54.8,57.4,flat,-2.7,42.0,23.0,On Track,High School
Nursing,10.0,3.0,12.0,-70.0,49.0,333,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,640.0,217.0,29.0,28.6,34.1,down,-5.5,21.0,6.0,On Track (Low Util),Professional/Cert
College English,31.0,4.0,37.0,-88.0,190.0,804,False,27.0,False,,27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,,4.0,3427.0,1198.0,26.0,26.0,35.2,down,-9.2,77.0,20.0,On Track (Low Util),College
Finance,5.0,3.0,6.0,-40.0,14.0,167,False,21.0,True,['Apr'],21.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,1.0,371.0,175.0,9.0,9.1,48.3,down,-39.2,11.0,1.0,On Track (Low Util),College
Biochemistry,6.0,3.0,7.0,-50.0,21.0,200,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,531.0,253.0,20.0,20.0,47.9,down,-27.9,5.0,1.0,On Track (Low Util),College
College Economics,3.0,4.0,4.0,38.0,-8.0,72,True,29.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,421.0,199.0,50.0,50.0,47.2,flat,2.8,8.0,4.0,True Supply Problem,College
Autocad,2.0,2.0,2.0,7.0,-1.0,93,False,15.0,True,['Apr'],15.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,241.0,111.0,100.0,100.0,45.1,up,54.9,4.0,4.0,On Track,Arts & Music
AP Pre-Calculus,6.0,37.0,7.0,517.0,-217.0,16,True,259.0,True,['Apr'],265.0,31.0,33.0,34.0,37.0,41.0,44.0,45.0,25.0,34.0,36.0,34.0,43.0,44.0,43.0,9.0,19.0,660.0,492.0,53.0,53.3,75.0,down,-21.7,15.0,8.0,True Supply Problem,AP
Managerial Accounting,3.0,4.0,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],26.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,0.0,3.0,461.0,190.0,40.0,40.0,41.2,flat,-1.2,5.0,2.0,Possible Placement Issue,College
Macroeconomics,2.0,3.0,2.0,71.0,-10.0,58,True,24.0,True,['Apr'],25.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,332.0,152.0,0.0,0.0,46.1,down,-46.1,2.0,0.0,Possible Placement Issue,College
AP Environmental Science,3.0,4.0,4.0,29.0,-6.0,78,True,27.0,True,['Apr'],27.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0,322.0,137.0,33.0,33.3,42.6,down,-9.3,3.0,1.0,Possible Placement Issue,AP
High School World History,9.0,4.0,11.0,-60.0,38.0,252,False,25.0,True,['Apr'],26.0,3.0,3.0,2.0,3.0,4.0,5.0,6.0,2.0,3.0,2.0,3.0,4.0,5.0,6.0,,3.0,705.0,301.0,17.0,16.7,43.4,down,-26.7,18.0,3.0,On Track (Low Util),High School
AP Macroeconomics,1.0,3.0,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,0.0,1.0,209.0,119.0,57.0,,56.9,,,0.0,0.0,True Supply Problem,AP
IB Mathematics: Applications and Interpretation,1.0,3.0,1.0,229.0,-16.0,30,True,23.0,True,['Apr'],23.0,3.0,2.0,2.0,2.0,3.0,5.0,6.0,3.0,2.0,2.0,2.0,4.0,6.0,4.0,0.0,1.0,548.0,239.0,50.0,50.0,43.6,up,6.4,2.0,1.0,True Supply Problem,IB
IB Chemistry,2.0,3.0,2.0,64.0,-9.0,61,True,23.0,True,['Apr'],24.0,3.0,2.0,2.0,2.0,3.0,5.0,7.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,0.0,1.0,508.0,240.0,0.0,0.0,47.3,down,-47.3,1.0,0.0,Possible Placement Issue,IB
Digital Media,11.0,3.0,13.0,-69.0,53.0,321,False,24.0,True,['Apr'],24.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,3.0,347.0,137.0,15.0,15.4,40.4,down,-25.0,13.0,2.0,On Track (Low Util),Arts & Music
Artificial Intelligence (AI),4.0,3.0,5.0,-25.0,7.0,133,False,21.0,True,['Apr'],21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,312.0,170.0,50.0,50.0,54.5,down,-4.5,4.0,2.0,On Track,College
Management,1.0,3.0,1.0,214.0,-15.0,32,True,22.0,False,,22.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,3.0,0.0,1.0,805.0,315.0,33.0,33.3,39.2,down,-5.8,3.0,1.0,Possible Placement Issue,College
Social Networking,1.0,4.0,1.0,271.0,-19.0,27,True,26.0,True,['Apr'],26.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,0.0,1.0,200.0,93.0,46.0,,46.5,,,0.0,0.0,Possible Placement Issue,Technology
Middle School English,86.0,2.0,103.0,-98.0,589.0,4631,False,13.0,True,['Apr'],6.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,,9.0,8094.0,2863.0,21.0,20.9,35.8,down,-14.9,244.0,51.0,On Track (Low Util),Middle School
MCAT,4.0,3.0,5.0,-36.0,10.0,156,False,18.0,True,['Apr'],18.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,303.0,192.0,83.0,83.3,63.0,up,20.4,6.0,5.0,On Track,Test Prep
ESL/ELL,19.0,3.0,23.0,-86.0,114.0,700,False,19.0,False,,19.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,2.0,1.0,0.0,1.0,3.0,5.0,7.0,14.0,1.0,3472.0,1169.0,10.0,10.0,33.9,down,-23.9,40.0,4.0,On Track (Low Util),Language
Python,7.0,2.0,8.0,-71.0,35.0,350,False,14.0,True,['Apr'],14.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,,3.0,1388.0,643.0,47.0,46.7,46.3,flat,0.3,15.0,7.0,On Track (Low Util),College
Anatomy & Physiology,19.0,2.0,23.0,-91.0,121.0,1108,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,4.0,1145.0,491.0,30.0,30.3,43.3,down,-13.0,33.0,10.0,On Track (Low Util),College
Kindergarten Readiness,14.0,3.0,17.0,-82.0,80.0,544,False,18.0,True,['Apr'],15.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,,3.0,909.0,360.0,21.0,20.7,40.2,down,-19.5,29.0,6.0,On Track (Low Util),Elementary
Microsoft Excel,10.0,3.0,12.0,-70.0,49.0,333,False,21.0,True,['Apr'],21.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0,4.0,5.0,6.0,6.0,1.0,1222.0,501.0,30.0,30.0,41.2,down,-11.2,20.0,6.0,On Track (Low Util),Technology
HSPT,5.0,4.0,6.0,-17.0,6.0,121,False,29.0,False,,29.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,3.0,4.0,4.0,5.0,6.0,5.0,9.0,3.0,115.0,88.0,71.0,70.6,77.6,down,-7.0,17.0,12.0,On Track,Test Prep
AP US History,5.0,3.0,6.0,-43.0,15.0,175,False,20.0,True,['Apr'],19.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,874.0,298.0,22.0,22.2,34.2,down,-12.0,9.0,2.0,On Track (Low Util),AP
Chess,2.0,2.0,2.0,0.0,0.0,100,False,14.0,True,['Apr'],14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,279.0,132.0,0.0,0.0,47.5,down,-47.5,1.0,0.0,On Track (Low Util),Other
Spanish 3,8.0,3.0,10.0,-68.0,38.0,311,False,18.0,True,['Apr'],18.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1710.0,653.0,14.0,14.3,38.3,down,-24.0,7.0,1.0,On Track (Low Util),Language
High School Reading,39.0,3.0,47.0,-93.0,254.0,1437,False,19.0,True,['Apr'],18.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,,2.0,4043.0,1508.0,17.0,16.8,37.8,down,-20.9,95.0,16.0,On Track (Low Util),High School
ASVAB,1.0,3.0,1.0,171.0,-12.0,37,True,19.0,True,['Apr'],19.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,2.0,1.0,4.0,5.0,4.0,0.0,3.0,136.0,71.0,0.0,0.0,53.0,down,-53.0,2.0,0.0,Possible Placement Issue,Test Prep
Piano,5.0,2.0,6.0,-66.0,23.0,292,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,613.0,210.0,17.0,16.7,34.6,down,-17.9,12.0,2.0,On Track (Low Util),Arts & Music
AP World History,5.0,2.0,6.0,-51.0,18.0,206,False,17.0,True,['Apr'],16.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,719.0,264.0,50.0,50.0,36.6,up,13.4,6.0,3.0,On Track,AP
Microeconomics,2.0,2.0,2.0,-14.0,2.0,117,False,12.0,True,['Apr'],12.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,361.0,174.0,67.0,66.7,48.0,up,18.6,3.0,2.0,On Track,College
French 2,3.0,3.0,4.0,-14.0,3.0,117,False,18.0,False,,18.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,849.0,273.0,33.0,33.3,32.2,flat,1.2,3.0,1.0,On Track (Low Util),Language
Linear Algebra,5.0,2.0,6.0,-51.0,18.0,206,False,17.0,True,['Apr'],16.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,694.0,384.0,67.0,66.7,55.2,up,11.4,6.0,4.0,On Track,College
Psychology,16.0,2.0,19.0,-88.0,98.0,800,False,14.0,False,,14.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1052.0,426.0,21.0,21.2,41.1,down,-19.9,33.0,7.0,On Track (Low Util),College
English Grammar and Syntax,54.0,3.0,65.0,-95.0,360.0,2100,False,18.0,True,['Apr'],19.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,,2.0,5762.0,1925.0,17.0,17.1,33.6,down,-16.5,70.0,12.0,On Track (Low Util),High School
